iso_week,release_date,pos_date,net_pos,friday,twap_weekly,ret_1w,ret_2w,ret_4w,net_pos_chg,pos_pct,pos_z,pos_z52,regime
2021-W01,2021-01-04,2020-12-29,179368,2021-01-09,52.3885654892265,,,,,0.987654320987654,2.02520870112945,,Extreme Long  (>90th)
2021-W01,2021-01-08,2021-01-05,187450,2021-01-09,52.3885654892265,,,,8082,1,2.24305364361468,0.707106781186548,Extreme Long  (>90th)
2021-W02,2021-01-15,2021-01-12,179673,2021-01-16,52.2117555970718,0.00338640005747375,,,-7777,0.993827160493827,2.03342977356919,-0.543737915348501,Extreme Long  (>90th)
2021-W03,2021-01-22,2021-01-19,163875,2021-01-23,52.1592732846961,0.00100619332039468,0.00439600075098644,,-15798,0.907407407407407,1.60760517552641,-1.3883623684984,Extreme Long  (>90th)
2021-W04,2021-01-29,2021-01-26,168371,2021-01-30,52.222630999337,-0.00121322333686517,-0.000208250753688191,,4496,0.925925925925926,1.72879186958897,-0.776640573622966,Extreme Long  (>90th)
2021-W05,2021-02-05,2021-02-02,153941,2021-02-06,56.9473200735359,-0.0829659599099296,-0.0840785270080666,-0.0800521355249494,-14430,0.87037037037037,1.33984080301363,-1.47676307400009,Long  (60-90th)
2021-W06,2021-02-12,2021-02-09,144777,2021-02-13,59.5884628682873,-0.0443230563035216,-0.123611711301088,-0.123794219822733,-9164,0.820987654320988,1.09283126911922,-1.53522234820952,Long  (60-90th)
2021-W07,2021-02-19,2021-02-16,135741,2021-02-20,59.0489577703889,0.00913657274013673,-0.0355914443913671,-0.116677495180918,-9036,0.765432098765432,0.849271890215906,-1.56048211719642,Long  (60-90th)
2021-W08,2021-02-26,2021-02-23,147610,2021-02-27,61.6332943654696,-0.0419308528237395,-0.0331773843704829,-0.152687982413041,11869,0.833333333333333,1.16919290263328,-0.821356940642961,Long  (60-90th)
2021-W09,2021-03-05,2021-03-02,155628,2021-03-06,66.1774700867956,-0.0686665071264585,-0.107718114745958,-0.139475715846402,8018,0.882716049382716,1.38531276762296,-0.35369022033093,Long  (60-90th)
2021-W10,2021-03-12,2021-03-09,173292,2021-03-14,65.56333333,0.00936707646794604,-0.0599426350815528,-0.0911312796077554,17664,0.969135802469136,1.86143415639543,0.641306170339076,Extreme Long  (>90th)
2021-W11,2021-03-19,2021-03-16,163009,2021-03-21,58.75769231,0.115825532835668,0.126277555926627,0.0049570609215249,-10283,0.901234567901234,1.58426272066472,0.017852907100561,Extreme Long  (>90th)
2021-W12,2021-03-26,2021-03-23,169691,2021-03-28,60.735,-0.0325563133283938,0.0794983671688484,0.014790390474514,6682,0.938271604938272,1.76437159293474,0.422933849994236,Extreme Long  (>90th)
2021-W13,2021-04-02,2021-03-30,175392,2021-04-04,61.33,-0.00970161421816401,-0.0419420787542801,0.0790391339767741,5701,0.975308641975309,1.91803826171825,0.752988581608227,Extreme Long  (>90th)
2021-W14,2021-04-09,2021-04-06,177332,2021-04-11,59.3275,0.033753318444229,0.0237242425519363,0.105108648265981,1940,0.981481481481481,1.97032967330218,0.831996364660695,Extreme Long  (>90th)
2021-W15,2021-04-16,2021-04-13,149087,2021-04-18,63.08185185,-0.0595155617645362,-0.0277710910289328,-0.068548392496185,-28245,0.839506172839506,1.20900445671033,-1.00514416001388,Long  (60-90th)
2021-W16,2021-04-23,2021-04-20,162242,2021-04-25,62.055,0.0165474474256708,-0.0439529449681734,-0.021271452743534,13155,0.895061728395062,1.56358874505396,-0.115980867606547,Long  (60-90th)
2021-W17,2021-04-30,2021-04-27,144774,2021-05-02,63.475,-0.0223710122095313,-0.00619374793225682,-0.0337928318235526,-17468,0.814814814814815,1.09275040611161,-1.23220934396718,Long  (60-90th)
2021-W18,2021-05-07,2021-05-04,144697,2021-05-09,64.83,-0.0209008175227518,-0.0428042572882924,-0.08487582909147,-77,0.808641975308642,1.09067492224978,-1.15792239902481,Long  (60-90th)
2021-W19,2021-05-14,2021-05-11,165541,2021-05-16,65.515,-0.010455620850187,-0.0311379073494619,-0.0371387949324582,20844,0.91358024691358,1.65251109908251,0.239446917482403,Extreme Long  (>90th)
2021-W20,2021-05-21,2021-05-18,161113,2021-05-23,63.858333335,0.0259428422021156,0.015215972830087,-0.0282395928741161,-4428,0.888888888888889,1.53315729985898,-0.0648928828532881,Long  (60-90th)
2021-W21,2021-05-28,2021-05-25,149216,2021-05-30,66.65,-0.0418854713428358,-0.0170292573143287,-0.0476369092273069,-11897,0.845679012345679,1.2124815660373,-0.871101593543778,Long  (60-90th)
2021-W22,2021-06-04,2021-06-01,145251,2021-06-06,69.4,-0.0396253602305475,-0.0798511046829972,-0.0658501440922191,-3965,0.82716049382716,1.10560762432065,-1.0965782662504,Long  (60-90th)
2021-W23,2021-06-11,2021-06-08,139090,2021-06-13,70.85,-0.0204657727593506,-0.0592801693719123,-0.0752999294283697,-6161,0.771604938271605,0.939541961037861,-1.43043999109063,Long  (60-90th)
2021-W24,2021-06-18,2021-06-15,141345,2021-06-20,71.695,-0.0117860380779692,-0.032010600460283,-0.109305623334961,2255,0.790123456790123,1.00032398842022,-1.20993939939523,Long  (60-90th)
2021-W25,2021-06-25,2021-06-22,151764,2021-06-27,74,-0.0311486486486487,-0.0425675675675677,-0.0993243243243242,10419,0.851851851851852,1.28116121382898,-0.488177886928492,Long  (60-90th)
2021-W26,2021-07-02,2021-06-29,166387,2021-07-04,75.08571429,-0.0144596652008489,-0.0451579148185793,-0.0757229833099853,14623,0.919753086419753,1.67531446722685,0.511699953262463,Extreme Long  (>90th)
2021-W27,2021-07-09,2021-07-06,171472,2021-07-10,74.6519549168852,0.00581042215971035,-0.00873325980024359,-0.0509290737411792,5085,0.95679012345679,1.81237726511566,0.841927109015604,Extreme Long  (>90th)
2021-W28,2021-07-16,2021-07-13,170153,2021-07-18,71.53,0.0436453923792147,0.0497094126939745,0.00230672445127907,-1319,0.944444444444444,1.77682449610576,0.729027030476742,Extreme Long  (>90th)
2021-W29,2021-07-23,2021-07-20,168389,2021-07-25,72.185,-0.00907390732146569,0.034175450812291,0.0251437279213133,-1764,0.932098765432099,1.7292770476346,0.59003403739468,Extreme Long  (>90th)
2021-W30,2021-07-30,2021-07-27,172154,2021-08-01,73.79,-0.0217509147580974,-0.030627456294891,0.0175594835343541,3765,0.962962962962963,1.83076012217764,0.837127954588481,Extreme Long  (>90th)
2021-W31,2021-08-06,2021-08-03,170287,2021-08-08,67.855,0.0874659199764203,0.0638125414486773,0.100168814632455,-1867,0.950617283950617,1.78043637711207,0.686011814146859,Extreme Long  (>90th)
2021-W32,2021-08-13,2021-08-10,152871,2021-08-15,68.025,-0.00249908122013968,0.0847482543182654,0.0515251745681734,-17416,0.858024691358025,1.31099966363486,-0.572183185361192,Long  (60-90th)
2021-W33,2021-08-20,2021-08-17,155148,2021-08-22,61.886,0.0991985263225932,0.0964515399282552,0.166418899266393,2277,0.876543209876543,1.37237468640632,-0.39760039221996,Long  (60-90th)
2021-W34,2021-08-27,2021-08-24,134184,2021-08-29,68.64,-0.0983974358974359,-0.00895979020979014,0.0750291375291376,-20964,0.753086419753086,0.807303989269419,-1.8339202267926,Long  (60-90th)
2021-W35,2021-09-03,2021-08-31,117584,2021-09-05,69.07333333,-0.00627352567350026,-0.104053662730627,-0.017638258807916,-16600,0.67283950617284,0.359862013860503,-2.65717469674389,Long  (60-90th)
2021-W36,2021-09-10,2021-09-07,113701,2021-09-12,69.71846154,-0.00925333399145471,-0.0154688086365941,-0.024290001566205,-3883,0.654320987654321,0.255198327685032,-2.58278156424174,Long  (60-90th)
2021-W37,2021-09-17,2021-09-14,96833,2021-09-19,72.0475,-0.0323264299247023,-0.0412806366633124,-0.14103889794927,-16868,0.487654320987654,-0.199467409736509,-3.04595939443285,Neutral (40-60th)
2021-W38,2021-09-24,2021-09-21,110168,2021-09-26,73.97333333,-0.0260341564088877,-0.0575189950007894,-0.0720980533107471,13335,0.635802469135803,0.159968659063363,-2.17342862849807,Long  (60-90th)
2021-W39,2021-10-01,2021-09-28,115897,2021-10-03,75.92222222,-0.0256695448712327,-0.0510354163339978,-0.0902092785186655,5729,0.660493827160494,0.314390049251175,-1.78940362002126,Long  (60-90th)
2021-W40,2021-10-08,2021-10-05,120201,2021-10-10,79.595,-0.0461433228217853,-0.0706283895973365,-0.124084910609963,4304,0.685185185185185,0.430401510827077,-1.5192175341407,Long  (60-90th)
2021-W41,2021-10-15,2021-10-12,110628,2021-10-17,82.555,-0.0358548846223731,-0.0803437439282904,-0.127278783841076,-9573,0.641975308641975,0.172367653562647,-1.85687115779146,Long  (60-90th)
2021-W42,2021-10-22,2021-10-19,128120,2021-10-24,83.99,-0.0170853673056315,-0.0523276580545303,-0.119260229432075,17492,0.740740740740741,0.643852896565824,-1.04160767993586,Long  (60-90th)
2021-W43,2021-10-29,2021-10-26,132110,2021-10-31,83.24,0.00901009130225853,-0.00822921672272932,-0.0879117945699183,3990,0.746913580246914,0.751400696679172,-0.844981246422608,Long  (60-90th)
2021-W44,2021-11-05,2021-11-02,141476,2021-11-06,81.3539873632787,0.0231827928519286,0.0324017632344243,-0.0216214032070007,9366,0.796296296296296,1.00385500641893,-0.416279626246494,Long  (60-90th)
2021-W45,2021-11-12,2021-11-09,125079,2021-11-13,80.785013840884,0.00704305780667906,0.030389128408784,0.021909832962364,-16397,0.722222222222222,0.561884761191215,-1.13491016091525,Long  (60-90th)
2021-W46,2021-11-19,2021-11-16,144038,2021-11-20,75.6586235728333,0.067756853428819,0.0752771266709959,0.110118001540782,18959,0.802469135802469,1.07291201491276,-0.270023118697744,Long  (60-90th)
2021-W47,2021-11-26,2021-11-23,139317,2021-11-26,74.5508792199577,0.0148589039387089,0.0836225499438159,0.116552894760713,-4721,0.777777777777778,0.945660595279898,-0.480619742045599,Long  (60-90th)
2021-W48,2021-12-03,2021-11-30,153528,2021-12-04,66.13172027221,0.127308936061136,0.144059511251316,0.230181023998939,14211,0.864197530864198,1.32870866230015,0.175531613756988,Long  (60-90th)
2021-W49,2021-12-10,2021-12-07,140739,2021-12-11,71.8403265179558,-0.0794624206547694,0.0377302391759654,0.124507887929666,-12789,0.783950617283951,0.983989660884204,-0.417765618772255,Long  (60-90th)
2021-W50,2021-12-17,2021-12-14,135283,2021-12-18,70.6326583888398,0.0170978716738604,-0.0637231872521585,0.0711563927882358,-5456,0.759259259259259,0.836926804388358,-0.665605234134368,Long  (60-90th)
2021-W52,2021-12-27,2021-12-21,123342,2022-01-01,75.3667844616575,-0.0211598997171866,-0.0628144892558894,-0.122534937047046,-11941,0.697530864197531,0.515065079788487,-1.20261954330898,Long  (60-90th)
2021-W52,2021-12-31,2021-12-28,104556,2022-01-01,75.3667844616575,-0.0211598997171866,-0.0628144892558894,-0.122534937047046,-18786,0.574074074074074,0.00870092617210832,-1.98226402827595,Neutral (40-60th)
2022-W01,2022-01-07,2022-01-04,99470,2022-01-08,78.9188421721547,-0.0450089942114039,-0.0652165081247057,-0.0896936075006999,-5086,0.512345679012346,-0.128388826052575,-2.11551100164547,Neutral (40-60th)
2022-W02,2022-01-14,2022-01-11,101851,2022-01-15,84.0953862341436,-0.0615556250324613,-0.1037940624731,-0.160088780706948,2381,0.537037037037037,-0.0642105523508505,-1.9126520741144,Neutral (40-60th)
2022-W03,2022-01-21,2022-01-18,106270,2022-01-22,84.819688821326,-0.00853932143877693,-0.0695693032027212,-0.130248744299877,4419,0.617283950617284,0.0549006578498723,-1.63108613056024,Long  (60-90th)
2022-W04,2022-01-28,2022-01-25,109561,2022-01-29,87.0383897672376,-0.0254910614941864,-0.0338127065650489,-0.134097210860551,3291,0.62962962962963,0.143607377191483,-1.42375044045839,Long  (60-90th)
2022-W05,2022-02-04,2022-02-01,99769,2022-02-05,92.2246941901105,-0.0562355285470716,-0.0802930867249066,-0.14427645583218,-9792,0.518518518518519,-0.120329479628041,-1.75662548148111,Neutral (40-60th)
2022-W06,2022-02-11,2022-02-08,102739,2022-02-12,93.589565820884,-0.0145835875912238,-0.0699990003819904,-0.101444851287276,2970,0.549382716049383,-0.0402751021000603,-1.55659030575479,Neutral (40-60th)
2022-W07,2022-02-18,2022-02-15,94638,2022-02-19,91.4828879802763,0.0230281081753987,0.00810868815153886,-0.0728354701743444,-8101,0.462962962962963,-0.258632176966785,-1.80045947881777,Neutral (40-60th)
2022-W08,2022-02-25,2022-02-22,105804,2022-02-26,91.9391203468508,-0.00496233121279954,0.0179515038626287,-0.0533040838450992,11166,0.604938271604938,0.042339937335381,-1.29709763153599,Long  (60-90th)
2022-W09,2022-03-04,2022-03-01,124386,2022-03-05,115.15769349779,-0.201624159408723,-0.205585964762034,-0.199144309087084,18582,0.709876543209877,0.543205406434686,-0.537116746140781,Long  (60-90th)
2022-W10,2022-03-11,2022-03-08,126828,2022-03-13,108.94,0.0570744767559213,-0.156057276052407,-0.140907234983624,2442,0.734567901234568,0.609027894624359,-0.412117649902088,Long  (60-90th)
2022-W11,2022-03-18,2022-03-15,118164,2022-03-20,105.6076923,0.0315536456429131,0.0904290302136454,-0.133747873967356,-8664,0.679012345679012,0.375495528663947,-0.732136699564818,Long  (60-90th)
2022-W12,2022-03-25,2022-03-22,123345,2022-03-27,112.615,-0.0622235732362474,-0.0326333081738667,-0.183597919044081,5181,0.703703703703704,0.515145942796091,-0.493021062182684,Long  (60-90th)
2022-W13,2022-04-01,2022-03-29,106697,2022-04-03,99.38,0.133175689273496,0.0626654487824512,0.158761254757397,-16648,0.623456790123457,0.0664101592655112,-1.14459626499168,Long  (60-90th)
2022-W14,2022-04-08,2022-04-05,102999,2022-04-10,97.975,0.0143403929573871,0.149425873947436,0.111916305179893,-3698,0.555555555555556,-0.0332669747743785,-1.26270078758728,Neutral (40-60th)
2022-W16,2022-04-18,2022-04-12,97461,2022-04-24,101.44,0.0514220228706625,-0.0341581230283912,0.110163643533123,-5538,0.506172839506173,-0.182540086811401,-1.43416901524811,Neutral (40-60th)
2022-W16,2022-04-22,2022-04-19,100913,2022-04-24,101.44,0.0514220228706625,-0.0341581230283912,0.110163643533123,3452,0.530864197530864,-0.089493719395041,-1.24083991159658,Neutral (40-60th)
2022-W17,2022-04-29,2022-04-26,95112,2022-05-01,104.525,-0.0295144702224349,0.0203898588854341,-0.0492226740014352,-5801,0.469135802469136,-0.245855821765349,-1.42103074588837,Neutral (40-60th)
2022-W18,2022-05-06,2022-05-03,97175,2022-05-08,110.74125,-0.0561331030668336,-0.0839908344903096,-0.115279988260924,2063,0.5,-0.190249026869651,-1.28128617904668,Neutral (40-60th)
2022-W19,2022-05-13,2022-05-10,88702,2022-05-15,110.205,0.00486593167279157,-0.051540311238147,-0.0322013520257701,-8473,0.41358024691358,-0.418633114679274,-1.56535485007465,Neutral (40-60th)
2022-W20,2022-05-20,2022-05-17,61789,2022-05-22,110.32,-0.00104242204496007,0.00381843727338652,-0.0804931109499637,-26913,0.117283950617284,-1.14405515589495,-2.47292231295917,Short (10-40th)
2022-W21,2022-05-27,2022-05-24,77102,2022-05-29,115.004,-0.0407290181211089,-0.04172898333971,-0.0911185697888769,15313,0.271604938271605,-0.731303410748155,-1.77781786347521,Short (10-40th)
2022-W22,2022-06-03,2022-05-31,67269,2022-06-05,120.285,-0.0439040611880117,-0.0828449100054039,-0.0793428108242923,-9833,0.166666666666667,-0.996345395338267,-2.02206740556576,Short (10-40th)
2022-W23,2022-06-10,2022-06-07,64775,2022-06-12,120.565,-0.00232239870609216,-0.0461244971592087,-0.0859287521254095,-2494,0.154320987654321,-1.06356950899308,-1.98603331149429,Short (10-40th)
2022-W24,2022-06-17,2022-06-14,53106,2022-06-19,111.475,0.0815429468490693,0.079031172908724,-0.0103610675039247,-11669,0.0617283950617284,-1.37809965423685,-2.23212156993749,Extreme Short (<10th)
2022-W25,2022-06-24,2022-06-21,73149,2022-06-26,107.13,0.0405582003173714,0.125408382339214,0.0734994866050594,20043,0.216049382716049,-0.837853900434386,-1.48738716013902,Short (10-40th)
