model,variable,coef_before,pval_before,coef_after,pval_after,coef_change
M1_CFTC_only,(Intercept),0.000622,0.9156,-0.004898,0.2419,-0.00552064025454743
M1_CFTC_only,pos_z,0.01957,9e-04,0.004232,0.3186,-0.0153387362360088
M3_CFTC_Macro,(Intercept),-0.001948,0.9644,0.029818,0.417,0.0317658620450131
M3_CFTC_Macro,pos_z,-0.012218,0.6537,0.04824,0.0466,0.060457465659158
M3_CFTC_Macro,dxy_z,-0.030884,0.0031,-0.031903,5e-04,-0.00101869526348887
M3_CFTC_Macro,sofr_z,-0.009754,0.8499,0.045959,0.2954,0.0557122585152892
M3_CFTC_Macro,td3c_z,-0.008435,0.1588,-0.007179,0.1495,0.00125575472528146
M3_CFTC_Macro,sin_ann,-0.033627,0.0269,-0.029079,0.0222,0.00454772921913332
M3_CFTC_Macro,cos_ann,-0.020455,0.1481,-0.002244,0.8532,0.0182110655246708
