regime,n,avg_1w,avg_2w,avg_4w,med_4w,hit_up_4w
Extreme Long  (>90th),12,1.65,1.33,0.78,0.99,66.7
Extreme Short (<10th),16,0.2,-1.68,-4.24,-5.47,25
Long  (60-90th),48,-0.58,-1.13,-2.56,-5.96,33.3
Neutral (40-60th),33,0.49,1,0.92,0,48.5
Short (10-40th),48,-0.14,0.15,1.9,1.06,58.3
