iso_week,friday,twap_weekly,n_days,ret_1w,ret_2w,ret_4w
2021-W01,2021-01-09,52.3885654892265,6,,,
2021-W02,2021-01-16,52.2117555970718,6,0.00338640005747375,,
2021-W03,2021-01-23,52.1592732846961,6,0.00100619332039468,0.00439600075098644,
2021-W04,2021-01-30,52.222630999337,6,-0.00121322333686517,-0.000208250753688191,
2021-W05,2021-02-06,56.9473200735359,6,-0.0829659599099296,-0.0840785270080666,-0.0800521355249494
2021-W06,2021-02-13,59.5884628682873,6,-0.0443230563035216,-0.123611711301088,-0.123794219822733
2021-W07,2021-02-20,59.0489577703889,6,0.00913657274013673,-0.0355914443913671,-0.116677495180918
2021-W08,2021-02-27,61.6332943654696,6,-0.0419308528237395,-0.0331773843704829,-0.152687982413041
2021-W09,2021-03-06,66.1774700867956,6,-0.0686665071264585,-0.107718114745958,-0.139475715846402
2021-W10,2021-03-14,65.56333333,7,0.00936707646794604,-0.0599426350815528,-0.0911312796077554
2021-W11,2021-03-21,58.75769231,7,0.115825532835668,0.126277555926627,0.0049570609215249
2021-W12,2021-03-28,60.735,7,-0.0325563133283938,0.0794983671688484,0.014790390474514
2021-W13,2021-04-04,61.33,6,-0.00970161421816401,-0.0419420787542801,0.0790391339767741
2021-W14,2021-04-11,59.3275,7,0.033753318444229,0.0237242425519363,0.105108648265981
2021-W15,2021-04-18,63.08185185,7,-0.0595155617645362,-0.0277710910289328,-0.068548392496185
2021-W16,2021-04-25,62.055,7,0.0165474474256708,-0.0439529449681734,-0.021271452743534
2021-W17,2021-05-02,63.475,7,-0.0223710122095313,-0.00619374793225682,-0.0337928318235526
2021-W18,2021-05-09,64.83,7,-0.0209008175227518,-0.0428042572882924,-0.08487582909147
2021-W19,2021-05-16,65.515,7,-0.010455620850187,-0.0311379073494619,-0.0371387949324582
2021-W20,2021-05-23,63.858333335,7,0.0259428422021156,0.015215972830087,-0.0282395928741161
2021-W21,2021-05-30,66.65,7,-0.0418854713428358,-0.0170292573143287,-0.0476369092273069
2021-W22,2021-06-06,69.4,7,-0.0396253602305475,-0.0798511046829972,-0.0658501440922191
2021-W23,2021-06-13,70.85,7,-0.0204657727593506,-0.0592801693719123,-0.0752999294283697
2021-W24,2021-06-20,71.695,7,-0.0117860380779692,-0.032010600460283,-0.109305623334961
2021-W25,2021-06-27,74,7,-0.0311486486486487,-0.0425675675675677,-0.0993243243243242
2021-W26,2021-07-04,75.08571429,7,-0.0144596652008489,-0.0451579148185793,-0.0757229833099853
2021-W27,2021-07-10,74.6519549168852,6,0.00581042215971035,-0.00873325980024359,-0.0509290737411792
2021-W28,2021-07-18,71.53,7,0.0436453923792147,0.0497094126939745,0.00230672445127907
2021-W29,2021-07-25,72.185,7,-0.00907390732146569,0.034175450812291,0.0251437279213133
2021-W30,2021-08-01,73.79,7,-0.0217509147580974,-0.030627456294891,0.0175594835343541
2021-W31,2021-08-08,67.855,7,0.0874659199764203,0.0638125414486773,0.100168814632455
2021-W32,2021-08-15,68.025,7,-0.00249908122013968,0.0847482543182654,0.0515251745681734
2021-W33,2021-08-22,61.886,6,0.0991985263225932,0.0964515399282552,0.166418899266393
2021-W34,2021-08-29,68.64,7,-0.0983974358974359,-0.00895979020979014,0.0750291375291376
2021-W35,2021-09-05,69.07333333,7,-0.00627352567350026,-0.104053662730627,-0.017638258807916
2021-W36,2021-09-12,69.71846154,7,-0.00925333399145471,-0.0154688086365941,-0.024290001566205
2021-W37,2021-09-19,72.0475,7,-0.0323264299247023,-0.0412806366633124,-0.14103889794927
2021-W38,2021-09-26,73.97333333,7,-0.0260341564088877,-0.0575189950007894,-0.0720980533107471
2021-W39,2021-10-03,75.92222222,7,-0.0256695448712327,-0.0510354163339978,-0.0902092785186655
2021-W40,2021-10-10,79.595,7,-0.0461433228217853,-0.0706283895973365,-0.124084910609963
2021-W41,2021-10-17,82.555,7,-0.0358548846223731,-0.0803437439282904,-0.127278783841076
2021-W42,2021-10-24,83.99,7,-0.0170853673056315,-0.0523276580545303,-0.119260229432075
2021-W43,2021-10-31,83.24,7,0.00901009130225853,-0.00822921672272932,-0.0879117945699183
2021-W44,2021-11-06,81.3539873632787,6,0.0231827928519286,0.0324017632344243,-0.0216214032070007
2021-W45,2021-11-13,80.785013840884,6,0.00704305780667906,0.030389128408784,0.021909832962364
2021-W46,2021-11-20,75.6586235728333,6,0.067756853428819,0.0752771266709959,0.110118001540782
2021-W47,2021-11-26,74.5508792199577,5,0.0148589039387089,0.0836225499438159,0.116552894760713
2021-W48,2021-12-04,66.13172027221,6,0.127308936061136,0.144059511251316,0.230181023998939
2021-W49,2021-12-11,71.8403265179558,6,-0.0794624206547694,0.0377302391759654,0.124507887929666
2021-W50,2021-12-18,70.6326583888398,6,0.0170978716738604,-0.0637231872521585,0.0711563927882358
2021-W51,2021-12-24,73.772030860442,5,-0.0425550501319549,-0.0261847792443253,0.0105575019479818
2021-W52,2022-01-01,75.3667844616575,6,-0.0211598997171866,-0.0628144892558894,-0.122534937047046
2022-W01,2022-01-08,78.9188421721547,6,-0.0450089942114039,-0.0652165081247057,-0.0896936075006999
2022-W02,2022-01-15,84.0953862341436,6,-0.0615556250324613,-0.1037940624731,-0.160088780706948
2022-W03,2022-01-22,84.819688821326,6,-0.00853932143877693,-0.0695693032027212,-0.130248744299877
2022-W04,2022-01-29,87.0383897672376,6,-0.0254910614941864,-0.0338127065650489,-0.134097210860551
2022-W05,2022-02-05,92.2246941901105,6,-0.0562355285470716,-0.0802930867249066,-0.14427645583218
