release_date,twap,pos_z,ret_4w,prob_state1,state
2021-02-05,56.9473200735359,1.33984080301363,-0.0800521355249494,0,2
2021-02-12,59.5884628682873,1.09283126911922,-0.123794219822733,7e-04,2
2021-02-19,59.0489577703889,0.849271890215906,-0.116677495180918,1e-04,2
2021-02-26,61.6332943654696,1.16919290263328,-0.152687982413041,2e-04,2
2021-03-05,66.1774700867956,1.38531276762296,-0.139475715846402,1e-04,2
2021-03-12,65.56333333,1.86143415639543,-0.0911312796077554,1e-04,2
2021-03-19,58.75769231,1.58426272066472,0.0049570609215249,0.0141,2
2021-03-26,60.735,1.76437159293474,0.014790390474514,0.6522,1
2021-04-02,61.33,1.91803826171825,0.0790391339767741,0.9277,1
2021-04-09,59.3275,1.97032967330218,0.105108648265981,0.9996,1
2021-04-16,63.08185185,1.20900445671033,-0.068548392496185,0.9995,1
2021-04-23,62.055,1.56358874505396,-0.021271452743534,0.09,2
2021-04-30,63.475,1.09275040611161,-0.0337928318235526,0.0502,2
2021-05-07,64.83,1.09067492224978,-0.08487582909147,0.0175,2
2021-05-14,65.515,1.65251109908251,-0.0371387949324582,0.0015,2
2021-05-21,63.858333335,1.53315729985898,-0.0282395928741161,0.0073,2
2021-05-28,66.65,1.2124815660373,-0.0476369092273069,0.011,2
2021-06-04,69.4,1.10560762432065,-0.0658501440922191,0.0047,2
2021-06-11,70.85,0.939541961037861,-0.0752999294283697,0.0017,2
2021-06-18,71.695,1.00032398842022,-0.109305623334961,0.001,2
2021-06-25,74,1.28116121382898,-0.0993243243243242,3e-04,2
2021-07-02,75.08571429,1.67531446722685,-0.0757229833099853,4e-04,2
2021-07-09,74.6519549168852,1.81237726511566,-0.0509290737411792,0.0039,2
2021-07-16,71.53,1.77682449610576,0.00230672445127907,0.077,2
2021-07-23,72.185,1.7292770476346,0.0251437279213133,0.658,1
2021-07-30,73.79,1.83076012217764,0.0175594835343541,0.9505,1
2021-08-06,67.855,1.78043637711207,0.100168814632455,0.9875,1
2021-08-13,68.025,1.31099966363486,0.0515251745681734,1,1
2021-08-20,61.886,1.37237468640632,0.166418899266393,0.9995,1
2021-08-27,68.64,0.807303989269419,0.0750291375291376,1,1
2021-09-03,69.07333333,0.359862013860503,-0.017638258807916,0.9969,1
2021-09-10,69.71846154,0.255198327685032,-0.024290001566205,0.4907,2
2021-09-17,72.0475,-0.199467409736509,-0.14103889794927,0.1633,2
2021-09-24,73.97333333,0.159968659063363,-0.0720980533107471,0.001,2
2021-10-01,75.92222222,0.314390049251175,-0.0902092785186655,0.0012,2
2021-10-08,79.595,0.430401510827077,-0.124084910609963,6e-04,2
2021-10-15,82.555,0.172367653562647,-0.127278783841076,2e-04,2
2021-10-22,83.99,0.643852896565824,-0.119260229432075,1e-04,2
2021-10-29,83.24,0.751400696679172,-0.0879117945699183,3e-04,2
2021-11-05,81.3539873632787,1.00385500641893,-0.0216214032070007,0.009,2
2021-11-12,80.785013840884,0.561884761191215,0.021909832962364,0.3218,2
2021-11-19,75.6586235728333,1.07291201491276,0.110118001540782,0.8987,1
2021-11-26,74.5508792199577,0.945660595279898,0.116552894760713,0.9999,1
2021-12-10,71.8403265179558,0.983989660884204,0.124507887929666,1,1
2021-12-17,70.6326583888398,0.836926804388358,0.0711563927882358,1,1
2021-12-27,75.3667844616575,0.515065079788487,-0.122534937047046,0.9924,1
2021-12-31,75.3667844616575,0.00870092617210832,-0.122534937047046,0.0081,2
2022-01-07,78.9188421721547,-0.128388826052575,-0.0896936075006999,3e-04,2
2022-01-14,84.0953862341436,-0.0642105523508505,-0.160088780706948,6e-04,2
