contract_code,delivery_month,expiry_date,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion
CLK21,2021-05,2021-04-20,26,CL_data_TWAP,FALSE,-0.0604,0.0183,-0.0748,-0.0567,-0.0569,0.0179,0.2397,-0.056,0.0751,0.0783,0.1343,2.3993,0.0035,0.1352
CLM21,2021-06,2021-05-20,26,CL_data_TWAP,FALSE,-0.0084,0.0122,0.005,-0.0031,-0.0154,-0.0204,-4.0728,0.0351,0.2181,0.283,0.2479,7.0596,-0.0069,0.2984
CLN21,2021-07,2021-06-22,26,CL_data_TWAP,FALSE,0.3139,0.0664,0.2084,0.4544,0.3745,0.1661,0.7971,0.4831,0.8139,0.6667,0.1836,0.38,0.0606,0.2922
CLQ21,2021-08,2021-07-20,26,CL_data_TWAP,FALSE,0.6869,0.0947,0.4801,0.3352,0.267,-0.2131,-0.4439,0.1248,0.6329,0.71,0.5852,4.688,-0.42,0.443
CLU21,2021-09,2021-08-20,26,CL_data_TWAP,FALSE,0.2243,0.0151,0.215,0.2272,0.1969,-0.0181,-0.084,0.2,-0.1007,0.2716,0.0716,0.3582,-0.0273,0.0747
CLV21,2021-10,2021-09-21,26,CL_data_TWAP,FALSE,0.2781,0.0392,0.2538,0.2263,0.1642,-0.0896,-0.353,0.1263,0.3573,0.3883,0.262,2.0739,-0.1139,0.2241
CLX21,2021-11,2021-10-20,26,CL_data_TWAP,FALSE,0.6696,0.1068,0.5361,0.6994,0.7804,0.2442,0.4556,0.5697,1.1225,1.4341,0.8645,1.5175,0.1108,0.6538
CLZ21,2021-12,2021-11-19,26,CL_data_TWAP,FALSE,1.2603,0.1292,1.165,1.0069,0.6932,-0.4718,-0.405,0.5802,0.8,0.5697,-0.0105,-0.0181,-0.5671,-0.1235
CLF22,2022-01,2021-12-20,26,CL_data_TWAP,FALSE,0.1749,0.0214,0.2168,0.3404,0.9067,0.6899,3.1824,0.0637,0.275,0.3674,0.3037,4.7689,0.7318,-0.5393
CLG22,2022-02,2022-01-20,26,CL_data_TWAP,FALSE,0.5559,0.0667,0.4843,0.5988,0.6883,0.204,0.4211,1.0672,0.8951,1.2209,0.1537,0.144,0.1324,0.5326
CLH22,2022-03,2022-02-22,26,CL_data_TWAP,FALSE,1.5941,0.2292,1.8181,1.4235,1.1705,-0.6476,-0.3562,0.909,1.3486,2.0186,1.1095,1.2205,-0.4237,0.8481
CLJ22,2022-04,2022-03-22,26,CL_data_TWAP,FALSE,2.2454,0.8536,1.4109,1.6042,1.6218,0.2109,0.1495,2.0348,2.8681,2.3463,0.3114,0.1531,-0.6235,0.7244
