stage,group,coef,b,p,r2
1,Full,pos_z_full,-0.407507674501485,0.0666641733890704,0.0665287563332785
1,High-Vol,pos_z_full,-0.531072065107703,0.0725625197457998,0.0849823471601299
1,Low-Vol,pos_z_full,-0.0942904933309826,0.338048106350571,0.0148566790330737
2,Full,pos_z_full,0.251745430973651,0.0295339498848484,0.618079474400275
2,High-Vol,pos_z_full,0.29943074183509,0.0270345937546656,0.62903090092731
2,Low-Vol,pos_z_full,0.0868633070434592,0.212819280620971,0.461811593963366
