model,variable,coef_before,pval_before_ols,pval_before_nw,coef_after,pval_after_ols,pval_after_nw,coef_change
Stage 1 (roll_compression),(Intercept),-0.371146278119566,0.0361108847889076,0.0880667062381513,-0.073001363614984,0.457606641439925,0.411226801639689,0.298144914504582
Stage 1 (roll_compression),pos_z_full,-0.407507674501485,0.0380417336519121,0.0666641733890704,-0.0939573182132748,0.383251762195295,0.432171679106737,0.313550356288211
Stage 2 (roll_reversion),(Intercept),0.293708648008977,0.0293399594559755,0.0410033637039216,0.154090769462232,0.0500646440396108,0.0163205463786097,-0.139617878546745
Stage 2 (roll_reversion),pos_z_full,0.251745430973651,0.0872969459958326,0.0295339498848484,0.129495190131877,0.130649547327234,0.0173866737424551,-0.122250240841774
Stage 2 (roll_reversion),roll_compression,-0.823396144643028,9.80280516137189e-13,4.15460461760902e-11,-0.825379493679025,1.06304987858093e-16,2.86125913496285e-15,-0.0019833490359964
