contract_code,expiry_date,delivery_month,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion,cftc_releasedate,cftc_cutoff_date,cftc_net_long,cftc_days_before_expiry,pos_z_full,pos_z_roll52,pos_pct_full,pos_pct_roll52,mm_chg,mm_chg_z,extreme_long,extreme_short,mm_long,mm_short,ls_ratio
CLH16,2016-02-22,2016-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-02-12,2016-02-09,115474,10,-0.3661,,0.4367,,-15129,-0.9746,0,0,,,
CLH17,2017-02-21,2017-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-02-10,2017-02-07,124967,11,-0.2333,-0.3355,0.4716,0.3333,6739,0.4526,0,0,,,
CLH18,2018-02-20,2018-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-02-09,2018-02-06,271314,11,1.813,2.7505,0.9523,1,19536,1.2878,1,0,,,
CLH19,2019-02-20,2019-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-02-08,2019-02-05,173604,12,0.4467,-2.2376,0.6624,0,-13665,-0.8791,0,0,,,
CLH20,2020-02-20,2020-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-02-07,2020-02-04,270665,13,1.8039,1.2538,0.9468,0.8627,-12638,-0.812,1,0,249960,123251,2.0281
CLH21,2021-02-22,2021-03,26,CL_data_TWAP,FALSE,0.1153,0.0315,0.0214,0.0792,0.5162,0.4948,23.0943,-0.0264,0.3016,0.245,0.2714,10.2771,0.401,-0.2713,2021-02-12,2021-02-09,144777,10,0.0437,-1.0816,0.5413,0,-9164,-0.5853,0,0,,,
CLH22,2022-02-22,2022-03,26,CL_data_TWAP,FALSE,1.5941,0.2292,1.8181,1.4235,1.1705,-0.6476,-0.3562,0.909,1.3486,2.0186,1.1095,1.2205,-0.4237,0.8481,2022-02-11,2022-02-08,102739,11,-0.5441,-1.611,0.3798,0.0784,2970,0.2066,0,0,306282,45638,6.7111
CLH23,2023-02-21,2023-03,26,CL_data_TWAP,FALSE,-0.2116,0.0166,-0.2204,-0.2343,-0.2281,-0.0077,-0.0349,-0.2072,-0.1956,-0.1468,0.0603,0.2912,-0.0165,0.0812,2023-02-10,2023-02-07,78145,11,-0.888,-0.4764,0.2422,0.3333,-8249,-0.5256,0,0,207741,61735,3.365
CLH24,2024-02-20,2024-03,26,regime_labels_daily,FALSE,0.1037,0.1003,0.3549,0.6967,1.129,0.7741,2.1814,1.7204,0.5619,0.4694,-1.251,-0.7271,1.0253,-0.6596,2024-02-09,2024-02-06,84765,11,-0.7955,0.3377,0.2789,0.6667,25616,1.6846,0,0,167934,90861,1.8483
CLH25,2025-02-20,2025-03,26,regime_labels_daily,FALSE,0.2184,0.0587,0.0302,0.0466,0.1404,0.1102,3.6483,0.1325,0.1646,0.2763,0.1438,1.0846,-0.078,0.1359,2025-02-07,2025-02-04,86177,13,-0.7757,1.077,0.2954,0.8627,13582,0.8992,0,0,204272,60136,3.3968
CLH26,2026-02-20,2026-03,26,regime_labels_daily,FALSE,0.1648,0.0092,0.1015,0.1147,0.0742,-0.0273,-0.2688,0.0592,0.0467,0.124,0.0648,1.0962,-0.0906,0.0498,2026-02-06,2026-02-03,47805,14,-1.3122,-0.8604,0.0587,0.1765,9870,0.6569,0,1,189550,112790,1.6806
CLJ16,2016-03-21,2016-04,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-03-11,2016-03-08,79001,10,-0.876,,0.2477,,-9106,-0.5815,0,0,,,
CLJ17,2017-03-21,2017-04,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-03-10,2017-03-07,151347,11,0.1355,0.5382,0.5651,0.6863,-5305,-0.3335,0,0,,,
CLJ18,2018-03-20,2018-04,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-03-09,2018-03-06,245383,11,1.4504,1.4688,0.9028,0.9216,1616,0.1182,1,0,,,
CLJ19,2019-03-20,2019-04,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-03-08,2019-03-05,172734,12,0.4346,-1.7325,0.655,0.0392,-7023,-0.4456,0,0,,,
CLJ20,2020-03-20,2020-04,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-03-13,2020-03-10,240613,7,1.3837,0.112,0.8917,0.549,-37268,-2.4195,0,0,258780,111996,2.3106
CLJ21,2021-03-22,2021-04,26,CL_data_TWAP,FALSE,-0.0242,0.029,-0.0596,-1.1358,-2.7423,-2.6827,-44.9941,-0.041,0.0354,-0.025,0.016,0.3909,-2.7181,2.7173,2021-03-12,2021-03-09,173292,10,0.4424,-0.334,0.6606,0.4314,17664,1.1656,0,0,,,
CLJ22,2022-03-22,2022-04,26,CL_data_TWAP,FALSE,2.2454,0.8536,1.4109,1.6042,1.6218,0.2109,0.1495,2.0348,2.8681,2.3463,0.3114,0.1531,-0.6235,0.7244,2022-03-11,2022-03-08,126828,11,-0.2073,-0.4168,0.4771,0.3725,2442,0.1722,0,0,276775,41938,6.5996
CLJ23,2023-03-21,2023-04,26,CL_data_TWAP,FALSE,-0.1444,0.0153,-0.1704,-0.202,-0.2317,-0.0613,-0.3596,-0.1985,-0.1239,-0.1275,0.071,0.3577,-0.0873,0.1042,2023-03-10,2023-03-07,59964,11,-1.1422,-1.5123,0.1138,0.0588,-15396,-0.992,0,0,206873,59936,3.4516
CLJ24,2024-03-20,2024-04,26,regime_labels_daily,FALSE,0.4322,0.0825,0.5698,0.5583,0.6739,0.1041,0.1827,0.602,0.4421,0.6023,3e-04,6e-04,0.2416,-0.0715,2024-03-08,2024-03-05,63927,12,-1.0868,-0.5804,0.145,0.3529,5675,0.3831,0,0,210194,35609,5.9028
CLJ25,2025-03-20,2025-04,26,regime_labels_daily,FALSE,0.3105,0.0335,0.2836,0.2209,0.2168,-0.0668,-0.2356,0.2626,0.3784,0.4361,0.1735,0.6608,-0.0937,0.2193,2025-03-07,2025-03-04,56192,13,-1.195,-0.3174,0.0917,0.4118,-46233,-3.0046,0,1,171447,72798,2.3551
CLJ26,2026-03-20,2026-04,26,regime_labels_daily,FALSE,1.6376,0.4236,2.8917,1.2015,0.595,-2.2967,-0.7942,1.3975,2.6862,5.4118,4.0143,2.8725,-1.0426,4.8168,2026-03-13,2026-03-10,135893,7,-0.0806,3.3985,0.5028,1,32128,2.1096,0,0,189998,97876,1.9412
CLK16,2016-04-20,2016-05,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-04-08,2016-04-05,113622,12,-0.392,,0.433,,17293,1.1414,0,0,,,
CLK17,2017-04-20,2017-05,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-04-07,2017-04-04,180390,13,0.5416,1.5677,0.7009,0.9216,-7445,-0.4731,0,0,,,
CLK18,2018-04-20,2018-05,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-04-13,2018-04-10,290278,7,2.0781,2.8725,0.9798,1,11797,0.7827,1,0,,,
