contract_code,expiry_date,delivery_month,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion,cftc_releasedate,cftc_cutoff_date,cftc_net_long,cftc_days_before_expiry,pos_z_full,pos_z_roll52,pos_pct_full,pos_pct_roll52,mm_chg,mm_chg_z,extreme_long,extreme_short,mm_long,mm_short,ls_ratio
CLU24,2024-08-20,2024-09,26,regime_labels_daily,FALSE,1.3961,0.1956,1.2165,0.9999,0.663,-0.5536,-0.455,0.779,0.6029,1.2122,0.4332,0.5561,-0.7332,0.5492,2024-08-09,2024-08-06,49708,11,-1.2856,-1.1467,0.0661,0.1765,3465,0.2389,0,1,216359,43725,4.9482
CLU25,2025-08-20,2025-09,26,regime_labels_daily,FALSE,0.8002,0.0809,0.9105,0.7745,0.5524,-0.3581,-0.3933,0.4786,0.4148,0.4737,-0.0048,-0.01,-0.2478,-0.0787,2025-08-08,2025-08-05,60492,12,-1.1348,0.0029,0.1229,0.5098,1856,0.1339,0,0,164194,82857,1.9817
CLV16,2016-09-20,2016-10,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-09-09,2016-09-06,137443,11,-0.0589,,0.5101,,-8129,-0.5178,0,0,,,
CLV17,2017-09-20,2017-10,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-09-08,2017-09-05,212438,12,0.9897,1.4422,0.8073,0.8824,-14868,-0.9576,0,0,,,
CLV18,2018-09-20,2018-10,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-09-07,2018-09-04,187989,13,0.6479,-1.6514,0.7248,0.0196,-4087,-0.254,0,0,,,
CLV19,2019-09-20,2019-10,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-09-13,2019-09-10,207717,7,0.9237,-0.1436,0.7917,0.3922,3156,0.2187,0,0,,,
CLV20,2020-09-22,2020-10,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-09-11,2020-09-08,188247,11,0.6515,-0.9833,0.7266,0.2941,26920,1.7697,0,0,381443,120324,3.1701
CLV21,2021-09-21,2021-10,26,CL_data_TWAP,FALSE,0.2781,0.0392,0.2538,0.2263,0.1642,-0.0896,-0.353,0.1263,0.3573,0.3883,0.262,2.0739,-0.1139,0.2241,2021-09-10,2021-09-07,113701,11,-0.3909,-3.108,0.4349,0,-3883,-0.2406,0,0,,,
CLV22,2022-09-20,2022-10,26,CL_data_TWAP,FALSE,0.4054,0.0366,0.4322,0.3712,0.3575,-0.0747,-0.1729,0.3693,0.611,0.825,0.4557,1.234,-0.048,0.4675,2022-09-09,2022-09-06,69268,11,-1.0121,-1.2383,0.1817,0.1569,-12266,-0.7878,0,0,198513,53303,3.7242
CLV23,2023-09-20,2023-10,26,CL_data_TWAP,FALSE,0.6793,0.0392,0.6232,0.8074,1.1766,0.5534,0.888,0.7749,1.3005,1.5109,0.7361,0.9499,0.4973,0.3344,2023-09-08,2023-09-05,66404,12,-1.0522,-0.6128,0.1596,0.2549,-2736,-0.1658,0,0,268738,35820,7.5025
CLV24,2024-09-20,2024-10,26,regime_labels_daily,FALSE,0.7861,0.1226,0.963,1.052,0.9237,-0.0393,-0.0408,0.9402,0.7732,0.5153,-0.4249,-0.4519,0.1376,-0.4084,2024-09-13,2024-09-10,44181,7,-1.3629,-1.2245,0.0404,0.0588,-17586,-1.135,0,1,188368,92535,2.0356
CLV25,2025-09-22,2025-10,26,regime_labels_daily,FALSE,0.2893,0.0235,0.3626,0.2349,-0.195,-0.5576,-1.5377,0.3965,0.4736,0.54,0.1435,0.362,-0.4843,0.735,2025-09-12,2025-09-09,71842,10,-0.9761,0.3974,0.1945,0.6863,-3263,-0.2002,0,0,130574,120572,1.083
CLX16,2016-10-20,2016-11,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-10-07,2016-10-04,140145,13,-0.0211,,0.5211,,3438,0.2372,0,0,,,
CLX17,2017-10-20,2017-11,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-10-13,2017-10-10,178437,7,0.5143,0.1449,0.6826,0.451,-15706,-1.0123,0,0,,,
CLX18,2018-10-22,2018-11,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-10-12,2018-10-09,231374,10,1.2545,-0.3371,0.8752,0.4706,11964,0.7936,0,0,,,
CLX19,2019-10-22,2019-11,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-10-11,2019-10-08,258022,11,1.6271,1.9266,0.9321,1,9926,0.6606,1,0,,,
CLX20,2020-10-20,2020-11,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-10-09,2020-10-06,164841,11,0.3242,-1.2529,0.6183,0.0784,5388,0.3644,0,0,403194,96499,4.1782
CLX21,2021-10-20,2021-11,26,CL_data_TWAP,FALSE,0.6696,0.1068,0.5361,0.6994,0.7804,0.2442,0.4556,0.5697,1.1225,1.4341,0.8645,1.5175,0.1108,0.6538,2021-10-08,2021-10-05,120201,12,-0.3,-1.7912,0.4495,0.098,4304,0.2937,0,0,,,
CLX22,2022-10-20,2022-11,26,CL_data_TWAP,FALSE,1.2389,0.0895,1.0708,0.966,0.8504,-0.2204,-0.2058,1.1994,1.1956,0.9758,-0.2237,-0.1865,-0.3885,0.1254,2022-10-07,2022-10-04,83123,13,-0.8184,-0.5728,0.2697,0.3333,-3790,-0.2346,0,0,195247,36371,5.3682
CLX23,2023-10-20,2023-11,26,CL_data_TWAP,FALSE,1.5635,0.2452,1.15,1.2225,1.0476,-0.1024,-0.089,1.0299,1.2059,0.7105,-0.3194,-0.3101,-0.5159,-0.3371,2023-10-13,2023-10-10,67430,7,-1.0378,-0.3899,0.1688,0.3529,11105,0.7375,0,0,281221,26677,10.5417
CLX24,2024-10-22,2024-11,26,regime_labels_daily,FALSE,0.6701,0.0749,0.5719,0.529,0.5315,-0.0404,-0.0707,0.5386,0.4213,0.4215,-0.1171,-0.2174,-0.1387,-0.1099,2024-10-11,2024-10-08,59574,11,-1.1477,-0.4468,0.1064,0.3725,36895,2.4207,0,0,191953,60890,3.1525
CLX25,2025-10-21,2025-11,26,regime_labels_daily,FALSE,0.4145,0.0487,0.4311,0.4411,0.512,0.0809,0.1875,0.573,0.2383,0.5256,-0.0474,-0.0827,0.0975,0.0136,2025-10-10,2025-10-07,91790,11,-0.6972,1.3692,0.3339,0.9412,2543,0.1787,0,0,118017,135498,0.871
CLZ16,2016-11-18,2016-12,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-11-04,2016-11-01,142990,14,0.0187,,0.5321,,-15971,-1.0296,0,0,,,
CLZ17,2017-11-17,2017-12,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-11-10,2017-11-07,204937,7,0.8848,0.8499,0.7817,0.7451,-2780,-0.1687,0,0,,,
CLZ18,2018-11-16,2018-12,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-11-09,2018-11-06,255614,7,1.5934,0.3622,0.9248,0.7059,9486,0.6319,1,0,,,
CLZ19,2019-11-20,2019-12,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-11-08,2019-11-05,275938,12,1.8776,2.3932,0.956,1,4044,0.2767,1,0,,,
CLZ20,2020-11-20,2020-12,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-11-13,2020-11-10,169197,7,0.3851,-0.9611,0.6349,0.1765,-9824,-0.6284,0,0,370004,75663,4.8902
CLZ21,2021-11-19,2021-12,26,CL_data_TWAP,FALSE,1.2603,0.1292,1.165,1.0069,0.6932,-0.4718,-0.405,0.5802,0.8,0.5697,-0.0105,-0.0181,-0.5671,-0.1235,2021-11-12,2021-11-09,125079,7,-0.2318,-1.2654,0.4734,0.1373,-16397,-1.0574,0,0,,,
CLZ22,2022-11-18,2022-12,26,CL_data_TWAP,FALSE,0.9494,0.1278,0.79,0.6448,0.5227,-0.2673,-0.3384,0.0201,-2.7335,-0.1344,-0.1545,-7.6759,-0.4268,-0.657,2022-11-04,2022-11-01,85396,14,-0.7866,-0.3996,0.2881,0.3725,-10000,-0.6399,0,0,212424,43011,4.9388
CLZ23,2023-11-17,2023-12,26,CL_data_TWAP,FALSE,0.13,0.1382,0.005,-0.0016,-0.1735,-0.1785,-35.6991,-0.1685,-3.1183,-0.1358,0.0328,0.1945,-0.3035,0.0377,2023-11-03,2023-10-31,126194,14,-0.2162,2.9031,0.4752,1,21405,1.4098,0,0,220229,84165,2.6166
CLZ24,2024-11-20,2024-12,26,regime_labels_daily,FALSE,0.1948,0.0592,0.1538,0.0764,0.0452,-0.1085,-0.7058,0.1693,0.3245,0.3317,0.1623,0.9587,-0.1496,0.2864,2024-11-08,2024-11-05,49437,12,-1.2894,-0.726,0.0642,0.2549,-10807,-0.6925,0,1,203273,56622,3.59
CLZ25,2025-11-20,2025-12,26,regime_labels_daily,FALSE,0.0748,0.0548,0.1262,0.1176,0.1821,0.0559,0.4433,0.2645,0.2434,0.2019,-0.0626,-0.2365,0.1073,0.0198,2025-11-07,2025-11-04,67170,13,-1.0415,-0.0772,0.1633,0.451,-7031,-0.4461,0,0,139453,131716,1.0587
