product,tier,spread_target,regime,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier3_full,m1m2,Warm-Up,33,-0.0709,7e-04,0.078,0.5152,0.5357,28,,,
CL,tier2_freight,m1m6,ALL_REGIMES,269,-0.0026,8e-04,0.9608,0.5613,0.5661,189,0.25,12,6.8398
CL,tier2_freight,m1m6,Backwardation-Deficit,16,-0.3358,9e-04,0.6156,0.5625,0.4545,11,,,
CL,tier2_freight,m1m6,Deep-Backwardation,70,-0.0623,0.0541,1.1899,0.5571,0.5769,52,0.2727,11,7.131
CL,tier2_freight,m1m6,Easing-Backwardation,64,-0.0277,0,1.0717,0.5469,0.5435,46,0,1,1.4291
CL,tier2_freight,m1m6,Stable-Elevated,49,-0.0922,0,0.7951,0.5714,0.6207,29,,,
CL,tier2_freight,m1m6,Warm-Up,33,-0.0997,9e-04,0.5021,0.6667,0.6429,28,,,
CL,tier2_physical,m1m6,ALL_REGIMES,269,-0.0075,0,0.9612,0.5613,0.5661,189,0.5833,12,5.7257
CL,tier2_physical,m1m6,Backwardation-Deficit,16,-0.14,0.0012,0.6155,0.5625,0.4545,11,,,
CL,tier2_physical,m1m6,Deep-Backwardation,70,-0.0572,0,1.2235,0.5286,0.5385,52,0.6364,11,5.9648
CL,tier2_physical,m1m6,Easing-Backwardation,64,-0.0421,0,1.0717,0.5469,0.5435,46,0,1,1.4291
CL,tier2_physical,m1m6,Stable-Elevated,49,-0.104,0,0.7951,0.5714,0.6207,29,,,
CL,tier2_physical,m1m6,Warm-Up,33,-0.0524,0.0181,0.4978,0.6667,0.6429,28,,,
CL,tier3_full,m1m6,ALL_REGIMES,269,-0.0349,0,0.9612,0.5613,0.5661,189,0.5833,12,5.7257
CL,tier3_full,m1m6,Backwardation-Deficit,16,-0.1114,0.096,0.5856,0.5625,0.4545,11,,,
CL,tier3_full,m1m6,Deep-Backwardation,70,-0.0443,0,1.2235,0.5286,0.5385,52,0.6364,11,5.9648
CL,tier3_full,m1m6,Easing-Backwardation,64,-0.0427,0,1.0717,0.5469,0.5435,46,0,1,1.4291
CL,tier3_full,m1m6,Stable-Elevated,49,-0.0586,0,0.7951,0.5714,0.6207,29,,,
CL,tier3_full,m1m6,Warm-Up,33,-0.0767,0.0023,0.5018,0.6667,0.6429,28,,,
CL,tier2_freight,m2m3,ALL_REGIMES,269,-0.0171,0,0.2176,0.5613,0.5503,189,0.6667,12,1.7364
CL,tier2_freight,m2m3,Backwardation-Deficit,16,-0.207,8e-04,0.1498,0.625,0.5455,11,,,
CL,tier2_freight,m2m3,Deep-Backwardation,70,-0.0178,0,0.2895,0.5429,0.5577,52,0.7273,11,1.8093
CL,tier2_freight,m2m3,Easing-Backwardation,64,-0.0183,0,0.192,0.5156,0.4783,46,0,1,0.4108
CL,tier2_freight,m2m3,Stable-Elevated,49,-0.0915,0,0.2156,0.5918,0.6207,29,,,
CL,tier2_freight,m2m3,Warm-Up,33,-0.0056,0.0383,0.0752,0.6667,0.6071,28,,,
CL,tier2_physical,m2m3,ALL_REGIMES,269,-0.0126,0,0.2176,0.5613,0.5503,189,0.6667,12,1.7364
CL,tier2_physical,m2m3,Backwardation-Deficit,16,-0.08,6e-04,0.1498,0.625,0.5455,11,,,
CL,tier2_physical,m2m3,Deep-Backwardation,70,-0.0788,0,0.2895,0.5429,0.5577,52,0.7273,11,1.8093
CL,tier2_physical,m2m3,Easing-Backwardation,64,-0.063,0,0.192,0.5156,0.4783,46,0,1,0.4108
CL,tier2_physical,m2m3,Stable-Elevated,49,-0.0574,0,0.2156,0.5918,0.6207,29,,,
CL,tier2_physical,m2m3,Warm-Up,33,-0.0497,0.0298,0.0755,0.6667,0.6071,28,,,
CL,tier3_full,m2m3,ALL_REGIMES,269,-0.0055,0.0035,0.2172,0.5613,0.5503,189,0.6667,12,1.7351
CL,tier3_full,m2m3,Backwardation-Deficit,16,-0.2529,0.1669,0.1368,0.625,0.5455,11,,,
CL,tier3_full,m2m3,Deep-Backwardation,70,-0.0143,0.0435,0.2832,0.5143,0.5385,52,0.7273,11,1.808
CL,tier3_full,m2m3,Easing-Backwardation,64,-0.0104,0,0.192,0.5156,0.4783,46,0,1,0.4108
CL,tier3_full,m2m3,Stable-Elevated,49,-0.0731,0,0.2156,0.5918,0.6207,29,,,
CL,tier3_full,m2m3,Warm-Up,33,-0.162,0.0044,0.0765,0.6667,0.6071,28,,,
HO,tier2_freight,fly123,ALL_REGIMES,269,-6e-04,0.0197,2.2515,0.5279,0.5291,189,0.6364,11,3.1503
HO,tier2_freight,fly123,Deep-Backwardation,18,-0.1571,3e-04,6.8008,0.5,0.5333,15,0.6667,9,3.4576
HO,tier2_freight,fly123,Deep-Contango,19,-0.0451,0.0011,0.1034,0.7895,0.8462,13,,,
HO,tier2_freight,fly123,Easing-Backwardation,47,-0.0416,0,0.6702,0.5532,0.5,28,0.5,2,0.8874
HO,tier2_freight,fly123,Stable-Elevated,94,-0.0241,0,0.5785,0.5319,0.5571,70,,,
HO,tier2_freight,fly123,Warm-Up,68,-0.0355,0,1.3541,0.6176,0.5833,48,,,
HO,tier2_physical,fly123,ALL_REGIMES,269,-0.0032,0.0156,2.2562,0.5316,0.545,189,0.6364,11,3.1989
HO,tier2_physical,fly123,Deep-Backwardation,18,-0.1336,1e-04,6.8016,0.5,0.5333,15,0.6667,9,3.5117
HO,tier2_physical,fly123,Deep-Contango,19,-0.0965,5e-04,0.1034,0.7895,0.8462,13,,,
HO,tier2_physical,fly123,Easing-Backwardation,47,-0.018,0,0.6702,0.5532,0.5,28,0.5,2,0.8874
HO,tier2_physical,fly123,Stable-Elevated,94,-0.0056,0.0554,0.5623,0.5,0.5143,70,,,
HO,tier2_physical,fly123,Warm-Up,68,-0.0207,0,1.3541,0.6176,0.5833,48,,,
HO,tier3_full,fly123,ALL_REGIMES,269,0.0049,0.0179,2.2536,0.5576,0.5503,189,0.6364,11,3.1796
HO,tier3_full,fly123,Deep-Backwardation,18,-0.0782,0.003,6.7916,0.5,0.5333,15,0.6667,9,3.4902
HO,tier3_full,fly123,Deep-Contango,19,-0.1166,0.0017,0.1033,0.7895,0.8462,13,,,
HO,tier3_full,fly123,Easing-Backwardation,47,-0.0729,0,0.6702,0.5532,0.5,28,0.5,2,0.8874
HO,tier3_full,fly123,Stable-Elevated,94,-0.01,0,0.5785,0.5319,0.5571,70,,,
HO,tier3_full,fly123,Warm-Up,68,-0.0371,0,1.3541,0.6176,0.5833,48,,,
HO,tier2_freight,fly136,ALL_REGIMES,269,-0.0123,0.0082,2.4847,0.4981,0.5132,189,0.5455,11,6.6326
HO,tier2_freight,fly136,Deep-Backwardation,18,-0.0629,0.0115,7.4393,0.5,0.5333,15,0.5556,9,7.1354
HO,tier2_freight,fly136,Deep-Contango,19,-0.2039,0.0016,0.216,0.5789,0.6154,13,,,
HO,tier2_freight,fly136,Easing-Backwardation,47,-0.0235,0,1.1338,0.6383,0.5357,28,0.5,2,3.5831
HO,tier2_freight,fly136,Stable-Elevated,94,-0.0263,0,0.972,0.5319,0.4714,70,,,
HO,tier2_freight,fly136,Warm-Up,68,-0.0412,0,1.5284,0.5,0.5208,48,,,
HO,tier2_physical,fly136,ALL_REGIMES,269,-0.0061,0.0081,2.4848,0.4907,0.4921,189,0.4545,11,4.4997
HO,tier2_physical,fly136,Deep-Backwardation,18,-0.1377,2e-04,7.4814,0.5,0.5333,15,0.4444,9,4.6791
HO,tier2_physical,fly136,Deep-Contango,19,-0.1687,6e-04,0.2161,0.5789,0.6154,13,,,
HO,tier2_physical,fly136,Easing-Backwardation,47,-0.062,0,1.1338,0.6383,0.5357,28,0.5,2,3.5831
HO,tier2_physical,fly136,Stable-Elevated,94,-0.0054,0.0462,0.9493,0.6702,0.6429,70,,,
HO,tier2_physical,fly136,Warm-Up,68,-0.043,0,1.5284,0.5,0.5208,48,,,
HO,tier3_full,fly136,ALL_REGIMES,269,-0.0066,0.0323,2.4542,0.5353,0.5503,189,0.4545,11,4.5038
HO,tier3_full,fly136,Deep-Backwardation,18,-0.1336,0.0027,7.4722,0.5,0.5333,15,0.4444,9,4.6839
HO,tier3_full,fly136,Deep-Contango,19,-0.2149,0.0033,0.2158,0.5789,0.6154,13,,,
HO,tier3_full,fly136,Easing-Backwardation,47,-0.0961,0,1.1338,0.6383,0.5357,28,0.5,2,3.5831
HO,tier3_full,fly136,Stable-Elevated,94,-0.0375,0,0.972,0.5319,0.4714,70,,,
HO,tier3_full,fly136,Warm-Up,68,-0.0072,0,1.5284,0.5,0.5208,48,,,
HO,tier2_freight,m1m2,ALL_REGIMES,269,0.0093,0.0231,2.3086,0.5502,0.5397,189,0.6364,11,3.9887
HO,tier2_freight,m1m2,Deep-Backwardation,18,-0.1586,2e-04,7.172,0.5556,0.5333,15,0.6667,9,4.3346
HO,tier2_freight,m1m2,Deep-Contango,19,-0.0559,0.0404,0.118,0.6316,0.6923,13,,,
