date,M1M2,bp_regime,kf_z,kf_regime,ms_state,ms_regime,ms_prob_back,arima_z,arima_regime,n_models_back,consensus_regime
2021-01-04,-0.124282407407414,flat,-0.0570212269104961,flat,3,contango,1.98534165324795e-06,,,0,contango_flat
2021-01-05,-0.0937692307692259,flat,-0.0364248082492483,flat,3,contango,1.8675148329127e-06,,,0,contango_flat
2021-01-06,-0.0344893832153659,flat,0.0105412844425843,flat,3,contango,1.62972919913896e-06,,,0,contango_flat
2021-01-07,-0.0355651105651091,flat,-0.0242443471130352,flat,3,contango,1.63147006078896e-06,,,0,contango_flat
2021-01-08,-0.0250384615384647,flat,-0.0522261911356769,flat,3,contango,1.77708861479978e-06,,,0,contango_flat
2021-01-09,0.261071428571427,flat,0.291427506755265,flat,3,contango,4.08723993919951e-06,,,0,contango_flat
2021-01-11,-0.013556034482761,flat,-0.0468281580779773,flat,3,contango,1.72717093749399e-06,,,0,contango_flat
2021-01-12,-0.0222751322751407,flat,-0.0250655176413932,flat,3,contango,1.6034658554723e-06,,,0,contango_flat
2021-01-13,-0.0453641456582616,flat,-0.0338274251093735,flat,3,contango,1.6465012138655e-06,,,0,contango_flat
2021-01-14,-0.0438646426312417,flat,-0.0211298565609537,flat,3,contango,1.64509402005584e-06,,,0,contango_flat
2021-01-15,-0.0557008547008593,flat,-0.035904961698857,flat,3,contango,1.67973181914451e-06,,,0,contango_flat
2021-01-16,-0.0450000000000017,flat,-0.0329762965291141,flat,3,contango,1.64844246861805e-06,,,0,contango_flat
2021-01-18,0.0300000000000011,flat,0.0483232152586878,flat,3,contango,1.58080877220499e-06,,,0,contango_flat
2021-01-19,-0.023228571428568,flat,-0.0336634461883206,flat,3,contango,1.59808595027892e-06,,,0,contango_flat
2021-01-20,-0.0296790757381231,flat,-0.0625146201857671,flat,3,contango,1.62283378807359e-06,,,0,contango_flat
2021-01-21,0.0933119658119637,flat,0.0679561378927404,flat,3,contango,1.75611472808811e-06,,,0,contango_flat
2021-01-22,0.0826978818283237,flat,0.0353563144438113,flat,3,contango,1.71392517030638e-06,,,0,contango_flat
2021-01-23,0.0263636363636266,flat,-0.0481929399417835,flat,3,contango,1.59999695511566e-06,,,0,contango_flat
2021-01-25,0.0950675675675683,flat,0.0270513391347896,flat,3,contango,1.76720312755661e-06,,,0,contango_flat
2021-01-26,0.0847303993004971,flat,0.000547536716555563,flat,3,contango,1.74733995016389e-06,,,0,contango_flat
2021-01-27,0.119875222816404,flat,0.0390549587009933,flat,3,contango,1.91906207569623e-06,,,0,contango_flat
2021-01-28,0.105876887340308,flat,0.023220231742258,flat,3,contango,1.84571607195547e-06,,,0,contango_flat
2021-01-29,0.102982982982986,flat,0.0325180434175215,flat,3,contango,1.81615338070799e-06,,,0,contango_flat
