product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier3_full,m1m2,Backwardation-Deficit,Ridge,16,-0.0311,0.2354,0.1389,0.625,0.5455,11,,,
CL,tier3_full,m1m2,Deep-Backwardation,Lasso,70,-0.0738,0,0.335,0.4857,0.5192,52,0.6364,11,2.1432
CL,tier3_full,m1m2,Easing-Backwardation,Lasso,64,-0.0712,0,0.2362,0.6094,0.6304,46,1,1,0.8197
CL,tier3_full,m1m2,Stable-Elevated,Lasso,49,-0.0218,0.1676,0.1877,0.6327,0.6552,29,,,
CL,tier3_full,m1m2,Warm-Up,Ridge,33,-0.0224,7e-04,0.078,0.5152,0.5357,28,,,
CL,tier2_freight,m1m6,ALL_REGIMES,Lasso,269,-0.0046,0.0012,0.9606,0.5613,0.5661,189,0.5833,12,5.7257
CL,tier2_freight,m1m6,Backwardation-Deficit,Ridge,16,-0.1366,9e-04,0.6156,0.5625,0.4545,11,,,
CL,tier2_freight,m1m6,Deep-Backwardation,Lasso,70,-0.0378,0,1.2235,0.5286,0.5385,52,0.6364,11,5.9648
CL,tier2_freight,m1m6,Easing-Backwardation,Lasso,64,-0.068,0,1.0717,0.5469,0.5435,46,0,1,1.4291
CL,tier2_freight,m1m6,Stable-Elevated,Lasso,49,-0.0613,0,0.7951,0.5714,0.6207,29,,,
CL,tier2_freight,m1m6,Warm-Up,Ridge,33,-0.0356,6e-04,0.5022,0.6667,0.6429,28,,,
CL,tier2_physical,m1m6,ALL_REGIMES,Lasso,269,-0.0057,0,0.9612,0.5613,0.5661,189,0.5833,12,5.7257
CL,tier2_physical,m1m6,Backwardation-Deficit,Ridge,16,-0.0599,6e-04,0.6156,0.5625,0.4545,11,,,
CL,tier2_physical,m1m6,Deep-Backwardation,Lasso,70,-0.0848,0,1.2235,0.5286,0.5385,52,0.6364,11,5.9648
CL,tier2_physical,m1m6,Easing-Backwardation,Lasso,64,-0.0729,0,1.0717,0.5469,0.5435,46,0,1,1.4291
CL,tier2_physical,m1m6,Stable-Elevated,Lasso,49,-0.0704,0,0.7951,0.5714,0.6207,29,,,
CL,tier2_physical,m1m6,Warm-Up,Ridge,33,-0.0307,7e-04,0.5022,0.6667,0.6429,28,,,
CL,tier3_full,m1m6,ALL_REGIMES,Lasso,269,-0.0063,0,0.9612,0.5613,0.5661,189,0.5833,12,5.7257
