product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_crude_stocks_5yr_dev_z,coef_cushing_stocks_5yr_dev_z,coef_cftc_net_mm_zscore,coef_cftc_mm_net_chg_z,coef_td3c_z52,coef_td3c_wow_ws_z,coef_bdi_z52,coef_dxy_z,coef_dxy_4wk_chg_z,coef_sofr_z,coef_opec_prod_z,coef_rig_chg_wow_z,coef_refinery_util_dev,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_gasoil_crack_dev_z,coef_sin_ann,coef_cos_ann,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sx_cushing,coef_sx_td3c,coef_sx_cftc,coef_sx_5yr_dev,coef_sx_util
CL,Deep-Backwardation,sfm_t4_combined,m1m2,Lasso,56,0,-0.0387,0.329,0.5179,0.5192,52,0.0124862020122056,0,0,0,0,0,0,0,0,0,0,0,1.36333283423169e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Deep-Backwardation,sfm_t4_combined,m2m3,Lasso,56,0,-0.0428,0.2978,0.5536,0.5577,52,0.0121815818234618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.98257806937394e-17,0,0,0,0,0,0
CL,Deep-Backwardation,sfm_t4_combined,m1m6,Lasso,56,0.0241,-0.0021,1.2311,0.5357,0.5385,52,0.140655052520341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124396339101143,0,0,0,0,0,0
CL,Deep-Backwardation,sfm_t4_combined,fly123,Lasso,56,0.0295,-0.0572,0.1844,0.6429,0.6346,52,0.00187072045699649,0,0,0,0,0,0,0,0,0,0,0,0.017234976484364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Deep-Backwardation,sfm_t4_combined,fly136,Lasso,56,0,-0.0216,0.3546,0.5893,0.5962,52,-0.0091290465143229,0,0,0,0,0,0,0,0,0,0,0,1.46964576028937e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,sfm_t1_eia_only,m1m2,OLS,50,0.0014,-0.0195,0.2562,0.64,0.6304,46,-0.056569304742456,0.00738845542963139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t1_eia_only,m2m3,OLS,50,9e-04,-0.02,0.2092,0.5,0.4783,46,0.00837447038571751,0.00482111027394063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t1_eia_only,m1m6,OLS,50,0.0036,-0.0171,1.1805,0.48,0.4565,46,0.0243672949939027,-0.0557564995400939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t1_eia_only,fly123,OLS,50,2e-04,-0.0206,0.2387,0.62,0.6304,46,-0.0649437751281736,0.00256734515569073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t1_eia_only,fly136,OLS,50,0.0134,-0.0071,0.8763,0.6,0.6087,46,-0.12075696370738,0.080175630947238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t2_eia_full,m1m2,Lasso,50,0,-0.1554,0.2563,0.64,0.6304,46,-0.0554428145734592,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t2_eia_full,m2m3,Lasso,50,0,-0.1029,0.2093,0.5,0.4783,46,0.0091095270398408,0,0,0,0,0,3.26246827222634e-18,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t2_eia_full,m1m6,Lasso,50,0.0174,-0.0314,1.1723,0.52,0.5,46,0.0288071986417661,0,0,0,0,0,-0.120244236081618,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t2_eia_full,fly123,Lasso,50,0,-0.0588,0.2387,0.62,0.6304,46,-0.0645523416133,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t2_eia_full,fly136,Lasso,50,0,-0.05,0.8822,0.54,0.5435,46,-0.108532885086973,0,0,0,0,0,5.50159477996505e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,sfm_t3_structural_only,m1m2,Lasso,50,0,-0.0377,0.2563,0.64,0.64,50,-0.0554428145734592,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,Easing-Backwardation,sfm_t3_structural_only,m2m3,Lasso,50,0.1957,-0.0997,0.1877,0.68,0.68,50,0.0215987823749738,,,,,,,0.0169353225072129,0,0,0,0,-0.0730353275334638,0,-0.0143113803261077,0.0221802686823267,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,Easing-Backwardation,sfm_t3_structural_only,m1m6,Lasso,50,0,-0.0798,1.1826,0.54,0.54,50,0.0158663100197363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,Easing-Backwardation,sfm_t3_structural_only,fly123,Lasso,50,0.6332,0.2941,0.1446,0.54,0.54,50,-0.0947586510444495,,,,,,,-0.0604989970996716,-0.00314228248398531,-0.0401960654492071,0,-0.0369072433075626,0.347707698981409,0,0.00501997002796516,-0.00257445698672774,0.079857452498926,0,0,0,-0.0431526078047847,0,-0.0341276634321311,-0.0765459271131867,0,-0.0854120335288535,-0.0447401264462319,0,,,,,
CL,Easing-Backwardation,sfm_t3_structural_only,fly136,Lasso,50,0,-0.0456,0.8822,0.54,0.54,50,-0.108532885086973,,,,,,,0,0,0,0,0,0,0,0,0,8.33405209590076e-17,0,0,0,0,0,0,0,0,0,0,0,,,,,
CL,Easing-Backwardation,sfm_t4_combined,m1m2,Lasso,50,0,-0.0311,0.2563,0.64,0.6304,46,-0.0554428145734592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,sfm_t4_combined,m2m3,Lasso,50,0,-0.0892,0.2093,0.5,0.4783,46,0.0091095270398408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,sfm_t4_combined,m1m6,Lasso,50,0,-0.073,1.1826,0.54,0.5435,46,0.0158663100197363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,sfm_t4_combined,fly123,Lasso,50,0.5669,0.1088,0.1571,0.56,0.5652,46,-0.0996706433345445,0,0,0,0,0,0,-0.0185228691534163,-0.00246204690156743,-0.0203869225248263,0,0,0.333734492953599,0,0,-0.00534840651965873,0.0618038309032963,0,0,0,-0.0171376595863631,0,0,0,0,0,0,0,0,-0.0263891354678942,0,0,0
CL,Easing-Backwardation,sfm_t4_combined,fly136,Lasso,50,0,-0.086,0.8822,0.54,0.5435,46,-0.108532885086973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33405209590076e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Stable-Elevated,sfm_t1_eia_only,m1m2,OLS,35,0.0295,1e-04,0.2302,0.5714,0.5862,29,0.0103000592351463,0.0358283567731599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t1_eia_only,m2m3,OLS,35,0.0092,-0.0208,0.2425,0.6286,0.5862,29,0.0154773499720595,0.0209106835715794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t1_eia_only,m1m6,OLS,35,0.0064,-0.0237,0.88,0.6,0.5517,29,0.109207368762817,0.0632749614549595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t1_eia_only,fly123,OLS,35,0.0211,-0.0085,0.1137,0.6571,0.6897,29,-0.00517729073691323,0.0149176732015805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t1_eia_only,fly136,OLS,35,0.0811,0.0533,0.1892,0.6,0.5862,29,-0.0576525503484053,0.050203119234519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t2_eia_full,m1m2,Ridge,35,0.0692,-0.0085,0.2254,0.6286,0.6552,29,-0.00712238963553686,0.00693278240115464,0,0,0,0,0.0521447436094478,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t2_eia_full,m2m3,Ridge,35,4e-04,-0.0487,0.2436,0.6571,0.6207,29,0.0181382386996716,0.000147855022449501,0,0,0,0,0.000331569868176643,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t2_eia_full,m1m6,Ridge,35,4e-04,-0.078,0.8826,0.6571,0.6207,29,0.117180498606855,0.00042558124395211,0,0,0,0,0.001202855371036,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t2_eia_full,fly123,Ridge,35,7e-04,-0.0761,0.1149,0.4857,0.4828,29,-0.00323935939491162,5.14924863805785e-05,0,0,0,0,0.000157317074297927,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t2_eia_full,fly136,Ridge,35,0.0013,-0.0293,0.1973,0.6,0.5862,29,-0.0510322976801168,0.000148854023206611,0,0,0,0,0.000296634942103455,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,sfm_t3_structural_only,m1m2,Ridge,35,0.3755,-0.0148,0.1846,0.7714,0.7714,35,0.0446851590644812,,,,,,,-0.00805038709609545,-0.00384915667014222,0.00620598831916292,0,0.00660221485834863,-0.00399639012249301,0,-0.0486676812917685,0.00155119877854013,0.0736317166066977,-0.017813793601282,0,0,0.0164872515276415,-0.010698423408686,0.0212000656506844,-0.0130488743061889,0.00321313149253746,0.00584379562303813,-0.0128707034746025,-0.018195319942045,,,,,
CL,Stable-Elevated,sfm_t3_structural_only,m2m3,Ridge,35,0.0026,-0.085,0.2433,0.6571,0.6571,35,0.0184988579748142,,,,,,,2.83105689980111e-05,2.51013241267018e-05,8.57778745468575e-05,0,5.70438520893826e-05,4.53797360679313e-05,0,-0.00030533080728023,-7.12303916955945e-05,0.000408611337125968,-2.56995185687449e-05,0,0,6.04599640484852e-05,-5.64254729637396e-05,0.000104054849784667,3.7471559973574e-05,0.000132253253368697,-0.000105521615816908,9.77751693925258e-05,-0.000111274307101877,,,,,
CL,Stable-Elevated,sfm_t3_structural_only,m1m6,Ridge,35,0.0027,-0.1002,0.8816,0.6571,0.6571,35,0.1186477696065,,,,,,,3.56812143013684e-05,4.86723587054332e-05,0.000367105368006664,0,0.000217429863597052,0.000156193474713803,0,-0.0012633305149195,-0.000289164874417989,0.00149583317176458,-0.000186375378764066,0,0,0.000201309041705198,-0.000183662546950495,0.000382806367263217,0.000165050177708149,0.000410597111592474,-0.000274236253075747,0.000260017584522362,-0.000692258106982839,,,,,
CL,Stable-Elevated,sfm_t3_structural_only,fly123,Ridge,35,0.0019,-0.0722,0.1148,0.4857,0.4857,35,-0.00313928266804485,,,,,,,-6.63471418472557e-05,-8.65494024975591e-05,4.72360397110538e-05,0,1.13526025180049e-06,-5.25986057483553e-05,0,-0.000122400760645677,-5.06259092088567e-05,0.000193492073568271,-7.72874421570005e-05,0,0,7.91826056861322e-06,-1.03408743511789e-05,-3.90664507064992e-05,8.6129234640461e-06,8.80774779703111e-05,-0.000108626378122756,0.000104800491377733,-5.25088693666948e-05,,,,,
CL,Stable-Elevated,sfm_t3_structural_only,fly136,Ridge,35,0.1278,-0.0539,0.1844,0.6,0.6,35,-0.05665035388473,,,,,,,-0.00256621094841647,-0.00545993262704303,0.00116704703122126,0,3.950484630171e-05,-0.00348642484608569,0,-0.00331482872462174,-0.00183610403173107,0.0166622518638017,-0.00128893056973101,0,0,0.00318248033794664,-0.00244336532501645,-0.000618366801472312,-0.0022295251843077,0.0089486810100295,-0.0103346220370372,0.0092925099276826,0.0106278580925162,,,,,
CL,Stable-Elevated,sfm_t4_combined,m1m2,Ridge,35,0.2271,0.0342,0.2054,0.7714,0.7586,29,0.0202852236057926,0.00139885691510556,0,0,0,0,0.0111264624560793,-0.00469939051262088,-0.0040982677624223,0.00579832236922134,0,0.00268964788999627,-0.00126817033492891,0,-0.0218668263346439,-0.00235293711716683,0.033605192976947,-0.00748514276396865,0,0,0.0053786685478554,-0.00417546406389692,0.00895439276433892,-0.00249982899700506,0.00574732434203402,-0.00110295152335949,-0.000291388477692148,-0.00865722711506621,0,0.00285971957357593,-0.00365291365534751,0.00575604194064356,0
