date,M1M2,regime_label,level_z_126,signal,fwd10,fwd21
2024-07-01,-0.0128333333333339,Deep-Contango,-1.68997306342079,FLAT,,
2024-07-02,-0.0120000000000005,Deep-Contango,-1.67055749033058,FLAT,,
2024-07-03,-0.0134499999999997,Deep-Contango,-1.72295978164914,FLAT,,
2024-07-04,-0.0136333333333334,Deep-Contango,-1.73678400021211,FLAT,,
2024-07-05,-0.0134694444444445,Deep-Contango,-1.73651573158718,FLAT,,
2024-07-06,-0.0261,Deep-Contango,-2.13842953108229,BUY,,
2024-07-08,-0.0133800000000002,Deep-Contango,-1.71685753726129,FLAT,,
2024-07-09,-0.0179333333333331,Deep-Contango,-1.85184919761058,BUY,,
2024-07-10,-0.0158714285714283,Deep-Contango,-1.77783323569431,BUY,,
2024-07-11,-0.01736,Deep-Contango,-1.81854333611025,BUY,,
2024-07-12,-0.0169571428571431,Deep-Contango,-1.79932597872316,BUY,0.0041238095238092,
2024-07-13,-0.0199833333333337,Deep-Contango,-1.88877707573406,BUY,0.0079833333333332,
2024-07-15,-0.0151566666666669,Deep-Contango,-1.72888841403701,FLAT,0.0017066666666672,
2024-07-16,-0.0156100000000001,Deep-Contango,-1.73030799522756,FLAT,0.0019766666666667,
2024-07-17,-0.0163333333333333,Deep-Contango,-1.74716297308021,FLAT,0.0028638888888888,
2024-07-18,-0.0166750000000002,Deep-Contango,-1.74928076576789,FLAT,-0.0094249999999998,
2024-07-19,-0.0172250000000003,Deep-Contango,-1.7594292384305,BUY,0.0038450000000001,
2024-07-20,-0.0103166666666668,Deep-Contango,-1.5319069215756,FLAT,-0.0076166666666663,
2024-07-22,-0.0176249999999998,Deep-Contango,-1.75498946956405,BUY,0.0017535714285715,
2024-07-23,-0.0170849999999998,Deep-Contango,-1.73348819113434,FLAT,-0.000275000000000199,
2024-07-24,-0.0165111111111114,Deep-Contango,-1.7069472951196,FLAT,-0.000446031746031701,
2024-07-25,-0.0168666666666666,Deep-Contango,-1.70888450573319,FLAT,-0.0031166666666671,0.0040333333333327
2024-07-26,-0.0180375000000002,Deep-Contango,-1.73735804753642,FLAT,0.0028808333333333,0.0060374999999997
2024-07-27,-0.0133666666666663,Deep-Contango,-1.58468708654398,FLAT,-0.0022433333333338,-8.33333333334005e-05
2024-07-29,-0.0182581818181817,Deep-Contango,-1.73013977405787,FLAT,0.0019248484848484,0.0046248484848483
2024-07-30,-0.0214499999999997,Deep-Contango,-1.82995697002124,BUY,0.0047749999999995,0.0079805555555552
2024-07-31,-0.0233099999999999,Deep-Contango,-1.88205155779722,BUY,0.0060849999999996,-0.0027900000000001
2024-08-01,-0.0164357142857146,Deep-Contango,-1.66377031490371,FLAT,0.0061190476190478,0.0030557142857144
2024-08-02,-0.0175266666666669,Deep-Contango,-1.69173831786485,FLAT,-9.8333333332902e-05,-0.000406666666666201
2024-08-03,-0.0445333333333338,Deep-Contango,-2.52576646135951,BUY,0.027448333333334,0.0286619047619055
2024-08-05,-0.0177750000000003,Deep-Contango,-1.68913487376894,FLAT,0.0012638888888889,0.000415000000000301
2024-08-06,-0.0162499999999999,Deep-Contango,-1.63715757094589,FLAT,-0.000616666666666699,-0.000707142857143201
2024-08-07,-0.0164200000000001,Deep-Contango,-1.63806483251051,FLAT,-0.0016175000000001,-0.0035633333333336
2024-08-08,-0.01945,Deep-Contango,-1.72620274881618,FLAT,0.0060833333333337,0.0042933333333331
2024-08-09,-0.0212833333333333,Deep-Contango,-1.77226892588349,BUY,0.0030251515151516,0.0056733333333332
2024-08-10,-0.0318071428571427,Deep-Contango,-2.09128059314966,BUY,0.010357142857143,0.0154738095238094
2024-08-12,-0.0215999999999998,Deep-Contango,-1.77455602698348,BUY,-0.0017100000000001,0.0049249999999996
2024-08-13,-0.0204000000000004,Deep-Contango,-1.72566871604391,FLAT,0.0039642857142858,0.0031750000000001
2024-08-14,-0.0198533333333342,Deep-Contango,-1.70635254725643,FLAT,0.0023266666666673,0.0095366666666674
2024-08-15,-0.0180400000000001,Deep-Contango,-1.6482235936397,FLAT,-0.0264933333333337,0.000415000000000301
2024-08-16,-0.0174333333333334,Deep-Contango,-1.62278619774466,FLAT,-0.0003416666666669,0.0003483333333336
2024-08-17,-0.0105119047619047,Deep-Contango,-1.40608032105429,FLAT,-0.0057380952380952,-0.0059992063492067
2024-08-19,-0.0186428571428574,Deep-Contango,-1.6475818577696,FLAT,0.0022228571428573,0.0017761904761908
2024-08-20,-0.0160666666666667,Deep-Contango,-1.56705766939426,FLAT,-0.0033833333333333,-0.0019708333333335
2024-08-21,-0.0143066666666667,Deep-Contango,-1.50845798126417,FLAT,-0.0069766666666666,0.000940000000000401
2024-08-22,-0.0154999999999998,Deep-Contango,-1.53824056230926,FLAT,-0.0163071428571429,-0.0027581818181819
2024-08-23,-0.0180771428571425,Deep-Contango,-1.60925782906804,FLAT,-0.0035228571428573,-0.0033728571428572
2024-08-24,-0.0259083333333336,Deep-Contango,-1.84835768881578,BUY,0.0055083333333332,0.0025983333333337
2024-08-26,-0.0212357142857145,Deep-Contango,-1.71290528387435,FLAT,0.0013823809523803,0.0047999999999999
2024-08-27,-0.0241928571428569,Deep-Contango,-1.79797873176153,BUY,0.0061528571428568,0.00666619047619
2024-08-28,-0.0273500000000002,Deep-Contango,-1.88327788008176,BUY,0.0099166666666668,-0.0171833333333336
2024-08-29,-0.0246866666666663,Deep-Contango,-1.79488984123128,BUY,0.0141747619047616,0.006911666666666
2024-08-30,-0.0270999999999999,Deep-Contango,-1.85813710132945,BUY,0.0084571428571425,0.01085
2024-09-02,-0.0157300000000005,Deep-Contango,-1.5133632407722,FLAT,-0.000336666666666201,-0.000689999999999601
2024-09-03,-0.0160749999999998,Deep-Contango,-1.51312274757203,FLAT,0.0017683333333331,-0.0033750000000002
2024-09-04,-0.0178666666666669,Deep-Contango,-1.55671208843311,FLAT,0.0023666666666671,-0.0034166666666664
2024-09-05,-0.0159800000000003,Deep-Contango,-1.4956391876846,FLAT,-0.0020971428571422,-0.0158271428571424
2024-09-06,-0.0171533333333329,Deep-Contango,-1.52296627491301,FLAT,-0.0087550000000007,-0.0044466666666669
2024-09-07,-0.0125500000000001,Deep-Contango,-1.38101298936104,FLAT,-0.0086857142857144,-0.0078500000000003
2024-09-09,-0.0126666666666666,Deep-Contango,-1.37592534582368,FLAT,-0.0115261904761903,-0.0071866666666676
2024-09-10,-0.0158666666666663,Deep-Contango,-1.45941559770468,FLAT,-0.0114833333333339,-0.0021733333333338
2024-09-11,-0.0137666666666667,Deep-Contango,-1.39566987097293,FLAT,-0.0109199999999996,-0.0036666666666667
2024-09-12,-0.0152999999999999,Deep-Contango,-1.43885842884638,FLAT,-0.0118,0.0047880952380952
2024-09-13,-0.0169904761904762,Deep-Contango,-1.48025166628585,FLAT,0.0012604761904757,-0.0016523809523812
2024-09-14,-0.0186333333333333,Deep-Contango,-1.52084587635919,FLAT,0.0025583333333335,0.0025666666666666
2024-09-16,-0.0156000000000001,Deep-Contango,-1.42726883804187,FLAT,-0.0022666666666668,0.0012933333333334
2024-09-17,-0.0129714285714289,Contango-Surplus,-1.35513896143783,FLAT,-0.0030085714285714,-0.0025285714285709
2024-09-18,-0.0101599999999995,Contango-Surplus,-1.27054121941318,FLAT,-0.0069933333333334,-0.007917142857143
2024-09-19,-0.0104033333333331,Contango-Surplus,-1.28955597107385,FLAT,-0.002146666666667,-0.0155050000000005
2024-09-20,-0.0118666666666667,Contango-Surplus,-1.34444914050527,FLAT,-0.0007999999999999,-0.0093690476190478
2024-09-21,-0.00170666666666675,Contango-Surplus,-1.04738534544003,FLAT,-0.0141599999999995,-0.0224861904761902
2024-09-23,-0.0151083333333335,Deep-Contango,-1.43166428756731,FLAT,0.0013416666666668,-0.0122416666666667
2024-09-24,-0.0183750000000003,Deep-Contango,-1.51078107832386,FLAT,0.0030750000000004,-0.006311666666666
2024-09-25,-0.0171818181818182,Deep-Contango,-1.47107370032738,FLAT,0.000191341991341999,-0.0099181818181817
2024-09-26,-0.0165333333333337,Deep-Contango,-1.44688997475629,FLAT,-0.0020999999999996,0.000803333333333201
2024-09-27,-0.0185166666666667,Deep-Contango,-1.49904186910985,FLAT,0.0029166666666666,0.0024416666666669
2024-09-28,-0.0404057142857144,Deep-Contango,-2.11761105765605,BUY,0.0274342857142855,0.0225390476190475
2024-09-30,-0.0191666666666666,Deep-Contango,-1.50604760465245,FLAT,0.0090066666666671,0.0031866666666663
