product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Deep-Backwardation,tier2_physical,m2m3,Lasso,56,0.0529,-0.0016,0.2898,0.6071,0.5962,52,1,0.0180805945394597,-0.0714516527355251,0,0,0,0.0512056519997367,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,m1m6,Lasso,56,0.0396,-0.0252,1.2213,0.5714,0.5577,52,1,0.0935011872682031,-0.284502582930099,0,0,0,0.250555535074356,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,fly123,Lasso,56,0,-0.0296,0.1871,0.5,0.5,52,1,0.000304620188743781,0,0,0,0,4.73175666343677e-18,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,fly136,Lasso,56,0,-0.0782,0.3546,0.5893,0.5962,52,1,-0.00912904651432291,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m1m2,Lasso,56,0.1696,-0.0016,0.2998,0.6071,0.6154,52,1,0.0347511018041938,-0.0725394539713927,0,0,,0.065683218764859,0,,0,0.261673436137405,-0.0382896469358059,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m2m3,Lasso,56,0.082,-0.0228,0.2853,0.625,0.6154,52,1,0.0152265266089501,-0.108838773460759,0,0,,0.0699447032457499,0,,0.0268023929708979,0.0742167934273709,-0.0705332653239504,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m1m6,Lasso,56,0.072,-0.0509,1.2005,0.5714,0.5577,52,1,0.0783435342577919,-0.290235751942926,0,0,,0.217512212329179,0,,0,0.405567725643972,-0.152193794959645,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly123,Lasso,56,0,-0.0363,0.1871,0.5,0.5,52,1,0.000304620188743782,0,0,0,,0,0,,0,2.58493010762561e-17,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly136,Lasso,56,0,-0.056,0.3546,0.5893,0.5962,52,1,-0.0091290465143229,0,0,0,,0,0,,0,1.46964576028937e-16,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier3_full,m1m2,Lasso,56,0,-0.0304,0.329,0.5179,0.5192,52,1,0.0124862020122056,0,0,0,0,0,0,0,0,1.36333283423169e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,m2m3,Lasso,56,0.0725,0.0348,0.2868,0.6071,0.6154,52,1,0.0860416424299005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104126225001119,-0.0128860485872354,0,0,0,0
CL,Deep-Backwardation,tier3_full,m1m6,Lasso,56,0.0469,0.0242,1.2166,0.5893,0.5962,52,1,0.23853299553065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27253592852215,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,fly123,Lasso,56,0.0539,-0.039,0.182,0.6607,0.6538,52,1,0.00329769269377084,0,0,0,0,0,0,0,0,0.0329388451594427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,fly136,Lasso,56,0,-0.1022,0.3546,0.5893,0.5962,52,1,-0.0091290465143229,0,0,0,0,0,0,0,0,1.46964576028937e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier1_baseline,m1m2,OLS,44,0.0153,-0.0082,0.1078,0.6591,0.6341,41,,-0.045636646062825,0.0103939288546364,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier1_baseline,m2m3,OLS,44,0.037,0.014,0.0774,0.5682,0.575,40,,-0.00358437662236203,0.0117115830173427,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier1_baseline,m1m6,OLS,44,3e-04,-0.0235,0.3206,0.4545,0.45,40,,-0.0645863553228162,0.00438139846906477,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier1_baseline,fly123,OLS,44,0.0512,0.0286,0.0663,0.5909,0.5952,42,,-0.0303440765348466,0.0119127085359924,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier1_baseline,fly136,OLS,44,0.0387,0.0158,0.1501,0.5455,0.5366,41,,-0.0234192339747071,0.0237195010534583,,,,,,,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,m1m2,Lasso,50,0,-0.0227,0.2563,0.64,0.6304,46,1,-0.0554428145734592,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,m2m3,Lasso,50,0,-0.0692,0.2093,0.5,0.4783,46,1,0.0091095270398408,0,0,0,0,3.26246827222634e-18,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,m1m6,Lasso,50,0,-0.0655,1.1826,0.54,0.5435,46,1,0.0158663100197363,0,0,0,0,-3.68752962652244e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,fly123,Lasso,50,0,-0.1167,0.2387,0.62,0.6304,46,1,-0.0645523416133,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,fly136,Lasso,50,0,-0.0643,0.8822,0.54,0.5435,46,1,-0.108532885086973,0,0,0,0,5.50159477996505e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m1m2,Lasso,50,0.1041,0.0296,0.2426,0.66,0.6522,46,1,-0.042434814527841,0,0,0,,0,0,,0,0.159858280144375,0,,,,,,,,,,,,,,,
