product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Deep-Backwardation,tier2_freight,m2m3,Lasso,70,0.0414,1e-04,0.2835,0.6143,0.5962,52,1,0.0389320990721609,-0.0836520213896021,0,0,,0.0378277535626481,0,,0.0679576797631717,0.0313362626025461,-0.0959856645637826,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m1m6,Lasso,70,0,-0.0378,1.2235,0.5286,0.5385,52,1,0.102251193185711,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly123,Lasso,70,0,-0.2031,0.197,0.5286,0.5,52,1,-0.0244549210452587,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly136,Lasso,70,0.0126,-0.0269,0.3814,0.7,0.6923,52,1,-0.0193424030395074,0,0,0,,-0.0138742372971985,0,,0.00927970776079174,0,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier3_full,m1m2,Lasso,70,0,-0.0738,0.335,0.4857,0.5192,52,1,0.00874181922679057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.93907983305728e-17,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,m2m3,Lasso,70,0.0276,-0.0035,0.2855,0.5429,0.5577,52,1,0.0550578767936453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00688452984737439,0,0,0,-0.0320698267806116,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,m1m6,Lasso,70,0,-0.0203,1.2235,0.5286,0.5385,52,1,0.102251193185711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,fly123,Lasso,70,0,-0.0398,0.197,0.5286,0.5,52,1,-0.0244549210452587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21981390643263e-17,0,0,0,0
CL,Deep-Backwardation,tier3_full,fly136,Lasso,70,0,-0.0285,0.3839,0.5857,0.5962,52,1,-0.0183740741880315,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90130130680331e-17,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier2_physical,m1m2,Lasso,64,0,-0.1487,0.2362,0.6094,0.6304,46,1,-0.0361486890346039,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,m2m3,Lasso,64,0,-0.0601,0.192,0.5156,0.4783,46,1,0.0135314640201033,0,0,0,0,7.27999358034491e-19,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,m1m6,Lasso,64,0,-0.0729,1.0717,0.5469,0.5435,46,1,0.0479606695909171,0,0,0,0,-6.50321988381589e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,fly123,Lasso,64,0,-0.0683,0.2141,0.5938,0.6304,46,1,-0.0496801530547072,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,fly136,Lasso,64,0,-0.0398,0.7836,0.5469,0.5435,46,1,-0.0931951196199182,0,0,0,0,7.13269052683632e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m1m2,Lasso,64,0,-0.0547,0.2362,0.6094,0.6304,46,1,-0.0361486890346039,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m2m3,Lasso,64,0,-0.0512,0.192,0.5156,0.4783,46,1,0.0135314640201033,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m1m6,Lasso,64,0,-0.068,1.0717,0.5469,0.5435,46,1,0.0479606695909171,0,0,0,,-6.50321988381589e-17,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,fly123,Lasso,64,0,-0.1135,0.2141,0.5938,0.6304,46,1,-0.0496801530547072,0,0,0,,0,0,,0,4.31228104622019e-17,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,fly136,Lasso,64,0,-0.0249,0.7836,0.5469,0.5435,46,1,-0.0931951196199182,0,0,0,,7.13269052683632e-17,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier3_full,m1m2,Lasso,64,0,-0.0712,0.2362,0.6094,0.6304,46,1,-0.0361486890346039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,m2m3,Lasso,64,0,-0.0233,0.192,0.5156,0.4783,46,1,0.0135314640201033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,m1m6,Lasso,64,0,-0.0646,1.0717,0.5469,0.5435,46,1,0.0479606695909171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,fly123,Lasso,64,0,-0.0319,0.2141,0.5938,0.6304,46,1,-0.0496801530547072,0,0,0,0,0,0,0,0,4.31228104622019e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,fly136,Lasso,64,0,-0.0358,0.7836,0.5469,0.5435,46,1,-0.0931951196199182,0,0,0,0,7.13269052683632e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Backwardation-Deficit,tier2_physical,m1m2,Ridge,16,0.1421,-0.0254,0.1472,0.75,0.7273,11,0,0.0747441485949529,-0.102881982066893,0,0,0,0.06773282126406,0,0,,,,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_physical,m2m3,Ridge,16,0.0105,-0.1946,0.149,0.625,0.5455,11,0,0.0743389459006732,-0.00374759253952685,0,0,0,0.00084063686648932,0,0,,,,,,,,,,,,,,,,,,
