product,unit,n_trades,hit_pct,rr,ev_trade,ev_be,total_pnl,max_dd,vol_gate
HO,$/gal,25,88,2.881,0.0204,-2e-04,0.5092,-0.0215,ATR14 ≤ 0.0189 (low-vol only)
LGO,$/mt,91,64.8,2.081,19.4846,1.5287,1773.1011,-357.5777,ATR14 ≥ 3.1000 (high-vol only)
