variant,variant_label,product,spread_target,tier,regime,n_events_oos,hit_rate_oos,rmse,mae,n_events_is,r2_insample,r2_cv,rmse_bbl,hit_rate_is,hit_sig,n_sig,alpha_used
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier2_freight,ALL_REGIMES,10,0.6,6.0132,4.8669,184,,,,,,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier2_freight,Deep-Backwardation,9,0.6667,6.3213,5.2525,56,0.072,-0.0509,1.2005,0.5714,0.5577,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier2_freight,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.0658,1.1826,0.54,0.5435,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier2_physical,ALL_REGIMES,12,0.5833,5.7257,4.3052,269,0,-0.0057,0.9612,0.5613,0.5661,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier2_physical,Deep-Backwardation,11,0.6364,5.9648,4.5667,70,0,-0.0848,1.2235,0.5286,0.5385,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier2_physical,Easing-Backwardation,1,0,1.4291,1.4291,64,0,-0.0729,1.0717,0.5469,0.5435,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier2_physical,ALL_REGIMES,10,0.3,6.1538,4.4892,206,0,-0.013,0.9994,0.5728,0.5661,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier2_physical,Deep-Backwardation,9,0.3333,6.47,4.8328,56,0.0396,-6e-04,1.2213,0.5714,0.5577,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier2_physical,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.0464,1.1826,0.54,0.5435,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier2_physical,ALL_REGIMES,10,0.7,6.0419,4.4627,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier2_physical,Deep-Backwardation,9,0.7778,6.3516,4.8034,56,0,-0.0717,1.2462,0.5357,0.5385,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier2_physical,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.12,1.1826,0.54,0.5435,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier2_physical,ALL_REGIMES,10,0.3,6.1538,4.4892,184,,,,,,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier2_physical,Deep-Backwardation,9,0.3333,6.47,4.8328,56,0.0396,-0.0252,1.2213,0.5714,0.5577,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier2_physical,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.0655,1.1826,0.54,0.5435,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier3_full,ALL_REGIMES,12,0.5833,5.7257,4.3052,269,0,-0.0063,0.9612,0.5613,0.5661,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier3_full,Deep-Backwardation,11,0.6364,5.9648,4.5667,70,0,-0.0203,1.2235,0.5286,0.5385,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier3_full,Easing-Backwardation,1,0,1.4291,1.4291,64,0,-0.0646,1.0717,0.5469,0.5435,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier3_full,ALL_REGIMES,10,0.3,6.0489,4.4786,206,0,-0.0169,0.9994,0.5728,0.5661,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier3_full,Deep-Backwardation,9,0.3333,6.3591,4.821,56,0.0407,-0.0117,1.2206,0.5893,0.5962,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier3_full,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.132,1.1826,0.54,0.5435,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier3_full,ALL_REGIMES,10,0.7,6.0437,4.4673,206,0,-0.0125,0.9994,0.5728,0.5661,189,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier3_full,Deep-Backwardation,9,0.7778,6.3535,4.8084,56,0.0132,-0.0057,1.238,0.5357,0.5385,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier3_full,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.0931,1.1826,0.54,0.5435,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier3_full,ALL_REGIMES,10,0.3,6.0506,4.4817,206,0,-0.0245,0.9994,0.5728,0.5661,189,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier3_full,Deep-Backwardation,9,0.3333,6.3609,4.8244,56,0.0469,0.0242,1.2166,0.5893,0.5962,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier3_full,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.063,1.1826,0.54,0.5435,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier1_baseline,ALL_REGIMES,10,0.3,1.9065,1.3146,206,0.0019,-0.003,0.2189,0.5534,0.5344,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier1_baseline,Deep-Backwardation,9,0.2222,2.0053,1.4169,56,0.0186,4e-04,0.295,0.6071,0.6154,52,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier1_baseline,Easing-Backwardation,1,1,0.3947,0.3947,50,9e-04,-0.02,0.2092,0.5,0.4783,46,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier1_baseline,ALL_REGIMES,10,0.4,1.8757,1.2818,184,0.0063,9e-04,0.099,0.5761,0.5536,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier1_baseline,Deep-Backwardation,9,0.3333,1.9733,1.3835,50,0.0214,0.001,0.1594,0.54,0.5319,47,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier1_baseline,Easing-Backwardation,1,1,0.3672,0.3672,44,0.037,0.014,0.0774,0.5682,0.575,40,
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier2_freight,ALL_REGIMES,12,0.25,1.9383,1.3901,269,0,-0.0077,0.2176,0.5613,0.5503,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier2_freight,Deep-Backwardation,11,0.2727,2.0207,1.4791,70,0.0414,1e-04,0.2835,0.6143,0.5962,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier2_freight,Easing-Backwardation,1,0,0.4108,0.4108,64,0,-0.0512,0.192,0.5156,0.4783,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier2_freight,ALL_REGIMES,10,0.8,1.8631,1.2756,206,0,-0.0191,0.2191,0.568,0.5503,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier2_freight,Deep-Backwardation,9,0.8889,1.9592,1.3722,56,0,-0.1027,0.2978,0.5536,0.5577,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier2_freight,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0437,0.2093,0.5,0.4783,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier2_freight,ALL_REGIMES,10,0.6,1.8578,1.365,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier2_freight,Deep-Backwardation,9,0.6667,1.9536,1.4715,56,0.0794,-0.0126,0.2857,0.625,0.6154,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier2_freight,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0392,0.2093,0.5,0.4783,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier2_freight,ALL_REGIMES,10,0.6,1.9092,1.3925,184,,,,,,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier2_freight,Deep-Backwardation,9,0.6667,2.0079,1.502,56,0.082,-0.0228,0.2853,0.625,0.6154,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier2_freight,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0416,0.2093,0.5,0.4783,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier2_physical,ALL_REGIMES,12,0.1667,1.7736,1.2101,269,0,-0.0034,0.2176,0.5613,0.5503,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier2_physical,Deep-Backwardation,11,0.1818,1.8483,1.2828,70,0.023,-0.0145,0.2862,0.5714,0.5577,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier2_physical,Easing-Backwardation,1,0,0.4108,0.4108,64,0,-0.0601,0.192,0.5156,0.4783,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier2_physical,ALL_REGIMES,10,0.2,1.906,1.3075,206,0,-0.0351,0.2191,0.568,0.5503,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier2_physical,Deep-Backwardation,9,0.2222,2.0045,1.4076,56,0.0541,-0.0907,0.2896,0.5893,0.5769,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier2_physical,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.1015,0.2093,0.5,0.4783,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier2_physical,ALL_REGIMES,10,0.8,1.8631,1.2756,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier2_physical,Deep-Backwardation,9,0.8889,1.9592,1.3722,56,0,-0.0855,0.2978,0.5536,0.5577,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier2_physical,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0682,0.2093,0.5,0.4783,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier2_physical,ALL_REGIMES,10,0.2,1.903,1.3055,184,,,,,,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier2_physical,Deep-Backwardation,9,0.2222,2.0014,1.4055,56,0.0529,-0.0016,0.2898,0.6071,0.5962,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier2_physical,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0692,0.2093,0.5,0.4783,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier3_full,ALL_REGIMES,12,0.6667,1.7361,1.1813,269,0.0048,-0.0073,0.2171,0.5613,0.5503,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier3_full,Deep-Backwardation,11,0.7273,1.8091,1.2513,70,0.0276,-0.0035,0.2855,0.5429,0.5577,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m2m3,tier3_full,Easing-Backwardation,1,0,0.4108,0.4108,64,0,-0.0233,0.192,0.5156,0.4783,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier3_full,ALL_REGIMES,10,0.4,1.8621,1.2715,206,0.0091,0.0044,0.2181,0.568,0.5503,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier3_full,Deep-Backwardation,9,0.4444,1.9582,1.3676,56,0.0491,-0.0239,0.2904,0.6071,0.6154,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m2m3,tier3_full,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0725,0.2093,0.5,0.4783,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier3_full,ALL_REGIMES,10,0.4,1.8663,1.2733,206,0,-0.0266,0.2191,0.568,0.5503,189,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier3_full,Deep-Backwardation,9,0.4444,1.9626,1.3697,56,0.0725,0.0168,0.2868,0.6071,0.6154,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m2m3,tier3_full,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0541,0.2093,0.5,0.4783,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier3_full,ALL_REGIMES,10,0.4,1.8663,1.2733,206,0.0054,-0.0111,0.2185,0.568,0.5503,189,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier3_full,Deep-Backwardation,9,0.4444,1.9626,1.3697,56,0.0725,0.0348,0.2868,0.6071,0.6154,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m2m3,tier3_full,Easing-Backwardation,1,0,0.4063,0.4063,50,0,-0.0566,0.2093,0.5,0.4783,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier1_baseline,ALL_REGIMES,9,0.4444,3.6136,2.3263,206,0.0088,0.004,2.5127,0.4709,0.4815,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier1_baseline,Deep-Backwardation,8,0.375,3.8168,2.4932,,,,,,,,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier1_baseline,Easing-Backwardation,1,1,0.9911,0.9911,35,0.0024,-0.0278,0.7385,0.4857,0.4643,28,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier1_baseline,ALL_REGIMES,9,0.4444,3.5332,2.2809,184,0.0032,-0.0023,0.3094,0.5598,0.5562,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier1_baseline,Deep-Backwardation,8,0.375,3.73,2.438,,,,,,,,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier1_baseline,Easing-Backwardation,1,1,1.024,1.024,31,6e-04,-0.0339,0.258,0.5161,0.48,25,
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier2_freight,ALL_REGIMES,11,0.7273,3.1853,2.4387,269,0.0248,0.0013,2.2456,0.5353,0.5344,189,1
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier2_freight,Deep-Backwardation,9,0.6667,3.4576,2.7512,18,3e-04,-0.1742,6.8008,0.5,0.5333,15,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier2_freight,Easing-Backwardation,2,1,1.4166,1.0327,47,0.0534,8e-04,0.652,0.5745,0.5714,28,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier2_freight,ALL_REGIMES,9,0.6667,3.2734,2.5184,206,0.0054,-0.0223,2.517,0.4563,0.4603,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier2_freight,Deep-Backwardation,8,0.625,3.4525,2.7036,17,3e-04,-0.188,6.9917,0.5294,0.5333,15,0
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier2_freight,Easing-Backwardation,1,1,1.0373,1.0373,35,0.001,-0.0885,0.7391,0.5143,0.5,28,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier2_freight,ALL_REGIMES,9,0.6667,3.2734,2.5185,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier2_freight,Deep-Backwardation,8,0.625,3.4525,2.7036,17,3e-04,-0.0507,6.9917,0.5294,0.5333,15,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier2_freight,Easing-Backwardation,1,1,1.0376,1.0376,35,6e-04,-0.0431,0.7392,0.5143,0.5,28,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier2_freight,ALL_REGIMES,9,0.6667,3.2734,2.5185,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier2_freight,Deep-Backwardation,8,0.625,3.4525,2.7036,17,3e-04,-0.1814,6.9917,0.5294,0.5333,15,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier2_freight,Easing-Backwardation,1,1,1.0376,1.0376,35,6e-04,-0.0891,0.7392,0.5143,0.5,28,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier2_physical,ALL_REGIMES,11,0.6364,3.1989,2.4116,269,0.0156,0.0054,2.2562,0.5316,0.545,189,1
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier2_physical,Deep-Backwardation,9,0.6667,3.5117,2.7523,18,1e-04,-0.1074,6.8016,0.5,0.5333,15,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier2_physical,Easing-Backwardation,2,0.5,0.8874,0.8786,47,0,-0.0394,0.6702,0.5532,0.5,28,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier2_physical,ALL_REGIMES,9,0.6667,3.3067,2.4951,206,0.0186,-5e-04,2.5003,0.5097,0.5079,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier2_physical,Deep-Backwardation,8,0.625,3.488,2.6774,17,1e-04,-0.0715,6.9926,0.5294,0.5333,15,0
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier2_physical,Easing-Backwardation,1,1,1.0369,1.0369,35,2e-04,-0.0202,0.7394,0.5143,0.5,28,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier2_physical,ALL_REGIMES,9,0.6667,3.3067,2.4951,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier2_physical,Deep-Backwardation,8,0.625,3.488,2.6774,17,1e-04,-0.2032,6.9926,0.5294,0.5333,15,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier2_physical,Easing-Backwardation,1,1,1.0369,1.0369,35,2e-04,-0.0914,0.7394,0.5143,0.5,28,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier2_physical,ALL_REGIMES,9,0.6667,3.3067,2.4951,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier2_physical,Deep-Backwardation,8,0.625,3.488,2.6774,17,1e-04,-0.1268,6.9926,0.5294,0.5333,15,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier2_physical,Easing-Backwardation,1,1,1.0369,1.0369,35,2e-04,-0.066,0.7394,0.5143,0.5,28,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier3_full,ALL_REGIMES,11,0.6364,3.1796,2.4315,269,0,-0.0013,2.274,0.4312,0.4392,189,1
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier3_full,Deep-Backwardation,9,0.6667,3.4902,2.7766,18,0.003,-0.1651,6.7916,0.5,0.5333,15,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly123,tier3_full,Easing-Backwardation,2,0.5,0.8874,0.8786,47,0,-0.0951,0.6702,0.5532,0.5,28,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier3_full,ALL_REGIMES,9,0.6667,3.2886,2.4886,206,0.0035,-0.0206,2.5195,0.4369,0.4392,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier3_full,Deep-Backwardation,8,0.625,3.4808,2.7196,17,0.003,-0.0697,6.9823,0.5294,0.5333,15,0
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly123,tier3_full,Easing-Backwardation,1,1,0.6412,0.6412,35,0.1269,-0.0428,0.6909,0.5714,0.5357,28,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier3_full,ALL_REGIMES,9,0.6667,5.9196,4.9928,206,0,-0.0192,2.5239,0.4369,0.4392,189,1
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier3_full,Deep-Backwardation,8,0.625,6.2687,5.4919,17,0.219,-0.1315,6.18,0.5294,0.5333,15,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly123,tier3_full,Easing-Backwardation,1,1,0.9997,0.9997,35,0.0036,-0.0621,0.7381,0.5143,0.5,28,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier3_full,ALL_REGIMES,9,0.6667,3.2825,2.4414,206,0,-0.0067,2.5239,0.4369,0.4392,189,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier3_full,Deep-Backwardation,8,0.625,3.4808,2.7196,17,0.003,-0.1595,6.9823,0.5294,0.5333,15,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly123,tier3_full,Easing-Backwardation,1,1,0.2161,0.2161,35,0.1008,-0.0915,0.7012,0.5714,0.5357,28,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier1_baseline,ALL_REGIMES,9,0.4444,4.8351,3.4409,206,0.0046,-3e-04,2.7919,0.4951,0.4974,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier1_baseline,Deep-Backwardation,8,0.5,5.0222,3.5039,,,,,,,,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier1_baseline,Easing-Backwardation,1,0,2.9365,2.9365,35,0.0028,-0.0274,1.2618,0.4286,0.4286,28,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier1_baseline,ALL_REGIMES,9,0.3333,4.8363,3.4153,184,0.0061,7e-04,0.6051,0.4946,0.497,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier1_baseline,Deep-Backwardation,8,0.375,5.033,3.4918,,,,,,,,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier1_baseline,Easing-Backwardation,1,0,2.8033,2.8033,31,1e-04,-0.0344,0.5257,0.4516,0.48,25,
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier2_freight,ALL_REGIMES,11,0.5455,8.3474,6.5115,269,0.0088,-0.0046,2.4839,0.4944,0.5079,189,1
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier2_freight,Deep-Backwardation,9,0.5556,9.0725,7.1798,18,0.0171,-0.0471,7.418,0.5,0.5333,15,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier2_freight,Easing-Backwardation,2,0.5,3.5831,3.5044,47,0,-0.0937,1.1338,0.6383,0.5357,28,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier2_freight,ALL_REGIMES,9,0.3333,5.1706,3.5985,206,0,-0.0106,2.7984,0.5,0.5026,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier2_freight,Deep-Backwardation,8,0.375,5.3901,3.6906,17,0.0068,-0.2196,7.6555,0.5294,0.5333,15,0
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier2_freight,Easing-Backwardation,1,0,2.862,2.862,35,4e-04,-0.084,1.2633,0.4571,0.4643,28,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier2_freight,ALL_REGIMES,9,0.4444,5.8362,4.1716,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier2_freight,Deep-Backwardation,8,0.5,6.107,4.3352,17,0.0116,-0.1271,7.6369,0.5294,0.5333,15,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier2_freight,Easing-Backwardation,1,0,2.862,2.862,35,4e-04,-0.129,1.2633,0.4571,0.4643,28,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier2_freight,ALL_REGIMES,9,0.4444,8.2854,6.2067,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier2_freight,Deep-Backwardation,8,0.5,8.7296,6.6247,17,0.029,-0.1505,7.5694,0.5294,0.5333,15,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier2_freight,Easing-Backwardation,1,0,2.862,2.862,35,4e-04,-0.045,1.2633,0.4571,0.4643,28,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier2_physical,ALL_REGIMES,11,0.4545,4.4917,3.8598,269,0.008,-0.009,2.4849,0.4944,0.4921,189,1
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier2_physical,Deep-Backwardation,9,0.4444,4.6697,3.9388,18,0.0087,-0.1483,7.4497,0.5,0.5333,15,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier2_physical,Easing-Backwardation,2,0.5,3.5831,3.5044,47,0,-0.1246,1.1338,0.6383,0.5357,28,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier2_physical,ALL_REGIMES,9,0.3333,4.6827,4.0284,206,0,-0.0164,2.7984,0.5,0.5026,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier2_physical,Deep-Backwardation,8,0.375,4.8635,4.1756,17,0.0141,-0.0683,7.6275,0.5294,0.5333,15,0
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier2_physical,Easing-Backwardation,1,0,2.8506,2.8506,35,0.0027,-0.0518,1.2619,0.4571,0.4643,28,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier2_physical,ALL_REGIMES,9,0.3333,4.6438,3.8525,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier2_physical,Deep-Backwardation,8,0.375,4.8213,3.9778,17,3e-04,-0.1387,7.6807,0.5294,0.5333,15,0
v3_ols_sig,OLS (DOF-guarded) — sig events,HO,fly136,tier2_physical,Easing-Backwardation,1,0,2.8507,2.8507,35,0.0023,-0.0262,1.2621,0.4571,0.4643,28,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier2_physical,ALL_REGIMES,9,0.3333,4.6772,3.8066,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier2_physical,Deep-Backwardation,8,0.375,4.8574,3.926,17,0.023,-0.1391,7.5931,0.4706,0.4667,15,0
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,HO,fly136,tier2_physical,Easing-Backwardation,1,0,2.8509,2.8509,35,2e-04,-0.0506,1.2634,0.4571,0.4643,28,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier3_full,ALL_REGIMES,11,0.4545,4.5038,3.7942,269,0.0291,-0.0114,2.4583,0.513,0.5291,189,1
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier3_full,Deep-Backwardation,9,0.4444,4.6839,3.8586,18,0.0027,-0.1219,7.4722,0.5,0.5333,15,0
v1_ridge_all,Ridge/Lasso — all events (original),HO,fly136,tier3_full,Easing-Backwardation,2,0.5,3.5831,3.5044,47,0,-0.0631,1.1338,0.6383,0.5357,28,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier3_full,ALL_REGIMES,9,0.3333,4.6463,3.8471,206,0.0107,-0.0133,2.7834,0.5,0.5026,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,HO,fly136,tier3_full,Deep-Backwardation,8,0.375,4.8232,3.9704,17,0.0027,-0.2832,7.6713,0.5294,0.5333,15,0
