variant,variant_label,product,spread_target,tier,regime,n_events_oos,hit_rate_oos,rmse,mae,n_events_is,r2_insample,r2_cv,rmse_bbl,hit_rate_is,hit_sig,n_sig,alpha_used
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly123,tier3_full,ALL_REGIMES,10,0.7,0.8695,0.6914,206,0,-0.17,0.1703,0.5485,0.5556,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly123,tier3_full,Deep-Backwardation,9,0.6667,0.9162,0.759,56,0.0743,-0.0617,0.1801,0.6607,0.6538,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly123,tier3_full,Easing-Backwardation,1,1,0.0833,0.0833,50,0.5174,0.1034,0.1658,0.66,0.6522,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier3_full,ALL_REGIMES,10,0.7,0.8497,0.7198,206,0,-0.159,0.1703,0.5485,0.5556,189,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier3_full,Deep-Backwardation,9,0.6667,0.8938,0.7806,56,0.0539,0.0178,0.182,0.6607,0.6538,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier3_full,Easing-Backwardation,1,1,0.1721,0.1721,50,0.5219,0.1271,0.1651,0.62,0.6087,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier3_full,ALL_REGIMES,10,0.7,0.848,0.7059,206,0,-0.1186,0.1703,0.5485,0.5556,189,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier3_full,Deep-Backwardation,9,0.6667,0.8938,0.7806,56,0.0539,-0.039,0.182,0.6607,0.6538,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier3_full,Easing-Backwardation,1,1,0.0338,0.0338,50,0.5143,0.0175,0.1664,0.64,0.6304,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier1_baseline,ALL_REGIMES,10,0.3,2.6374,1.4997,206,1e-04,-0.0048,0.5244,0.5777,0.582,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier1_baseline,Deep-Backwardation,9,0.2222,2.7664,1.5748,56,0.008,-0.0104,0.3532,0.5,0.5,52,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier1_baseline,Easing-Backwardation,1,1,0.8234,0.8234,50,0.0134,-0.0071,0.8763,0.6,0.6087,46,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier1_baseline,ALL_REGIMES,10,0.4,2.6372,1.5121,184,0,-0.0055,0.1404,0.587,0.5917,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier1_baseline,Deep-Backwardation,9,0.3333,2.7578,1.5637,50,0.0037,-0.0171,0.1808,0.6,0.6087,46,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier1_baseline,Easing-Backwardation,1,1,1.048,1.048,44,0.0387,0.0158,0.1501,0.5455,0.5366,41,
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier2_freight,ALL_REGIMES,12,0.8333,2.4214,1.3986,269,0,-0.0111,0.4911,0.5651,0.582,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier2_freight,Deep-Backwardation,11,0.8182,2.5098,1.4319,70,0.0126,-0.0269,0.3814,0.7,0.6923,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier2_freight,Easing-Backwardation,1,1,1.0317,1.0317,64,0,-0.0249,0.7836,0.5469,0.5435,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier2_freight,ALL_REGIMES,10,0.4,2.6167,1.4896,206,0,-0.0106,0.5244,0.5777,0.582,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier2_freight,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.105,0.3546,0.5893,0.5962,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier2_freight,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0525,0.8822,0.54,0.5435,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier2_freight,ALL_REGIMES,10,0.9,2.4486,1.6176,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier2_freight,Deep-Backwardation,9,0.8889,2.5588,1.6844,56,0.0835,-0.0123,0.3395,0.5714,0.5769,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier2_freight,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0678,0.8822,0.54,0.5435,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier2_freight,ALL_REGIMES,10,0.4,2.6167,1.4896,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier2_freight,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.056,0.3546,0.5893,0.5962,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier2_freight,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0746,0.8822,0.54,0.5435,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier2_physical,ALL_REGIMES,12,0.4167,2.4304,1.4067,269,0,-0.0176,0.4911,0.5651,0.582,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier2_physical,Deep-Backwardation,11,0.3636,2.5194,1.4408,70,0,-0.017,0.3839,0.5857,0.5962,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier2_physical,Easing-Backwardation,1,1,1.0317,1.0317,64,0,-0.0398,0.7836,0.5469,0.5435,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier2_physical,ALL_REGIMES,10,0.4,2.6167,1.4896,206,0,-0.0112,0.5244,0.5777,0.582,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier2_physical,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.0514,0.3546,0.5893,0.5962,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier2_physical,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0702,0.8822,0.54,0.5435,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier2_physical,ALL_REGIMES,10,0.4,2.6167,1.4896,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier2_physical,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.0706,0.3546,0.5893,0.5962,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier2_physical,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0611,0.8822,0.54,0.5435,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier2_physical,ALL_REGIMES,10,0.4,2.6167,1.4896,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier2_physical,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.0782,0.3546,0.5893,0.5962,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier2_physical,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0643,0.8822,0.54,0.5435,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier3_full,ALL_REGIMES,12,0.4167,2.4304,1.4067,269,0,-0.0093,0.4911,0.5651,0.582,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier3_full,Deep-Backwardation,11,0.3636,2.5194,1.4408,70,0,-0.0285,0.3839,0.5857,0.5962,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly136,tier3_full,Easing-Backwardation,1,1,1.0317,1.0317,64,0,-0.0358,0.7836,0.5469,0.5435,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier3_full,ALL_REGIMES,10,0.4,2.6167,1.4896,206,0,-0.0184,0.5244,0.5777,0.582,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier3_full,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.0391,0.3546,0.5893,0.5962,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly136,tier3_full,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0583,0.8822,0.54,0.5435,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier3_full,ALL_REGIMES,10,0.4,2.6167,1.4896,206,0,-0.0272,0.5244,0.5777,0.582,189,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier3_full,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.0494,0.3546,0.5893,0.5962,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly136,tier3_full,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0558,0.8822,0.54,0.5435,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier3_full,ALL_REGIMES,10,0.4,2.6167,1.4896,206,0,-0.0151,0.5244,0.5777,0.582,189,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier3_full,Deep-Backwardation,9,0.3333,2.7374,1.5421,56,0,-0.1022,0.3546,0.5893,0.5962,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly136,tier3_full,Easing-Backwardation,1,1,1.0164,1.0164,50,0,-0.0383,0.8822,0.54,0.5435,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier1_baseline,ALL_REGIMES,10,0.4,2.2364,1.535,206,3e-04,-0.0046,0.2502,0.5,0.4921,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier1_baseline,Deep-Backwardation,9,0.3333,2.3428,1.6186,56,0.0082,-0.0102,0.3276,0.5,0.5,52,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier1_baseline,Easing-Backwardation,1,1,0.7826,0.7826,50,0.0014,-0.0195,0.2562,0.64,0.6304,46,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier1_baseline,ALL_REGIMES,10,0.4,2.2177,1.5259,184,0.0034,-0.0021,0.1208,0.5054,0.4911,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier1_baseline,Deep-Backwardation,9,0.3333,2.3229,1.608,50,0.0025,-0.0183,0.2081,0.54,0.5319,47,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier1_baseline,Easing-Backwardation,1,1,0.7868,0.7868,44,0.0153,-0.0082,0.1078,0.6591,0.6341,41,
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier2_freight,ALL_REGIMES,12,0.6667,2.0656,1.4112,269,0,-0.0135,0.2414,0.4907,0.4921,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier2_freight,Deep-Backwardation,11,0.6364,2.1432,1.465,70,0,-0.0843,0.335,0.4857,0.5192,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier2_freight,Easing-Backwardation,1,1,0.8197,0.8197,64,0,-0.0547,0.2362,0.6094,0.6304,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier2_freight,ALL_REGIMES,10,0.7,1.973,1.4318,206,0,-0.0093,0.2502,0.5,0.4921,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier2_freight,Deep-Backwardation,9,0.7778,2.0186,1.424,56,0.053,-0.0108,0.3202,0.5714,0.5962,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier2_freight,Easing-Backwardation,1,0,1.502,1.502,50,0.1041,0.0237,0.2426,0.66,0.6522,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier2_freight,ALL_REGIMES,10,0.7,2.4774,1.7903,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier2_freight,Deep-Backwardation,9,0.7778,2.5705,1.8357,56,0.1685,0.0023,0.3,0.6071,0.6154,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier2_freight,Easing-Backwardation,1,0,1.3809,1.3809,50,0.0956,-0.0526,0.2438,0.62,0.6087,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier2_freight,ALL_REGIMES,10,0.7,2.4983,1.8113,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier2_freight,Deep-Backwardation,9,0.7778,2.5854,1.8457,56,0.1696,-0.0016,0.2998,0.6071,0.6154,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier2_freight,Easing-Backwardation,1,0,1.502,1.502,50,0.1041,0.0296,0.2426,0.66,0.6522,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier2_physical,ALL_REGIMES,12,0.6667,2.0656,1.4112,269,0,-0.0065,0.2414,0.4907,0.4921,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier2_physical,Deep-Backwardation,11,0.6364,2.1432,1.465,70,0,-0.0776,0.335,0.4857,0.5192,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier2_physical,Easing-Backwardation,1,1,0.8197,0.8197,64,0,-0.1487,0.2362,0.6094,0.6304,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier2_physical,ALL_REGIMES,10,0.8,2.2082,1.522,206,0,-0.0162,0.2502,0.5,0.4921,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier2_physical,Deep-Backwardation,9,0.7778,2.3123,1.6022,56,0,-0.0416,0.329,0.5179,0.5192,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier2_physical,Easing-Backwardation,1,1,0.8004,0.8004,50,0,-0.0853,0.2563,0.64,0.6304,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier2_physical,ALL_REGIMES,10,0.4,2.238,1.5338,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier2_physical,Deep-Backwardation,9,0.3333,2.3439,1.6153,56,0.0467,-0.0804,0.3212,0.5893,0.5769,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier2_physical,Easing-Backwardation,1,1,0.8004,0.8004,50,0,-0.2125,0.2563,0.64,0.6304,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier2_physical,ALL_REGIMES,10,0.8,2.2082,1.522,184,,,,,,169,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier2_physical,Deep-Backwardation,9,0.7778,2.3123,1.6022,56,0,-0.0392,0.329,0.5179,0.5192,52,1
