signal,horizon,regime,ic,n_bars,product
vwap_dev,fwd_ret_1,Deep-Contango,-0.161285732706323,6790,CL
vwap_dev,fwd_ret_1,Contango-Surplus,-0.152805892319559,5320,CL
vwap_dev,fwd_ret_1,Easing-Contango,-0.154119631762337,1362,CL
vwap_dev,fwd_ret_1,Stable-Depressed,-0.178032534679184,797,CL
vwap_dev,fwd_ret_4,ALL,-0.104308353539896,45914,CL
vwap_dev,fwd_ret_4,Stable-Elevated,-0.10449517999757,3903,CL
vwap_dev,fwd_ret_4,Backwardation-Deficit,-0.0401302774176842,4386,CL
vwap_dev,fwd_ret_4,Transition-Tightening,-0.0954006955110431,1984,CL
vwap_dev,fwd_ret_4,Deep-Backwardation,-0.0905074798868384,8370,CL
vwap_dev,fwd_ret_4,Easing-Backwardation,-0.0899767726721105,11028,CL
vwap_dev,fwd_ret_4,Transition-Loosening,-0.0912839481806947,1974,CL
vwap_dev,fwd_ret_4,Deep-Contango,-0.191191581425232,6790,CL
vwap_dev,fwd_ret_4,Contango-Surplus,-0.160275320322037,5320,CL
vwap_dev,fwd_ret_4,Easing-Contango,-0.118916723351935,1362,CL
vwap_dev,fwd_ret_4,Stable-Depressed,-0.270836112165134,797,CL
vwap_dev,fwd_ret_8,ALL,-0.0953406031560204,45914,CL
vwap_dev,fwd_ret_8,Stable-Elevated,-0.0826849828022284,3903,CL
vwap_dev,fwd_ret_8,Backwardation-Deficit,-0.0376591543785177,4386,CL
vwap_dev,fwd_ret_8,Transition-Tightening,-0.0717827890476794,1984,CL
vwap_dev,fwd_ret_8,Deep-Backwardation,-0.0827488491537668,8370,CL
vwap_dev,fwd_ret_8,Easing-Backwardation,-0.0738751569290551,11028,CL
vwap_dev,fwd_ret_8,Transition-Loosening,-0.0850851080412945,1974,CL
vwap_dev,fwd_ret_8,Deep-Contango,-0.207490543402064,6790,CL
vwap_dev,fwd_ret_8,Contango-Surplus,-0.163739650511013,5320,CL
vwap_dev,fwd_ret_8,Easing-Contango,-0.104670194921724,1362,CL
vwap_dev,fwd_ret_8,Stable-Depressed,-0.258684563590465,797,CL
rsi,fwd_ret_1,ALL,-0.0879010771661953,46315,CL
