product,window,entry_time,exit_time,trade_date,direction,entry_px,exit_px,stop_px,target_px,atr_entry,exit_reason,pnl_raw,pnl_net,regime,signal_z,confidence
CL,validation,2024-02-20T19:30:00Z,2024-02-20T20:00:00Z,2024-02-20,-1,1.53083333333336,1.35864866994962,1.53083333333336,1.35864866994962,0.0860923316918692,target,0.172184663383739,0.132184663383739,Backwardation-Deficit,2.55147841723765,0.1
CL,validation,2024-02-29T18:15:00Z,2024-02-29T18:45:00Z,2024-02-29,-1,0.895200000000017,0.916729185813068,0.916729185813068,0.852141628373914,0.0215291858130514,stop,-0.0215291858130514,-0.0615291858130514,Backwardation-Deficit,2.50348104475534,0.1
CL,validation,2024-02-29T19:30:00Z,2024-02-29T19:45:00Z,2024-02-29,-1,0.996428571428567,0.920934842913923,0.996428571428567,0.920934842913923,0.0377468642573219,target,0.0754937285146438,0.0354937285146438,Backwardation-Deficit,2.57131344823377,0.1
CL,validation,2024-04-01T19:30:00Z,2024-04-01T20:00:00Z,2024-04-01,-1,0.966381461675567,1.00194250057665,1.00194250057665,0.895259383873398,0.0355610389010845,stop,-0.0355610389010845,-0.0755610389010845,Backwardation-Deficit,2.65197173468663,0.1
CL,validation,2024-06-27T19:30:00Z,2024-06-27T20:30:00Z,2024-06-27,-1,0.85158371040724,0.85158371040724,0.85158371040724,0.807637714089703,0.0219729981587683,stop,0,-0.04,Backwardation-Deficit,2.73879346134321,0.1
CL,test,2024-07-10T18:45:00Z,2024-07-10T19:45:00Z,2024-07-10,-1,1.01391666666666,1.01391666666666,1.01391666666666,0.975163826519999,0.0193764200733306,stop,0,-0.04,Backwardation-Deficit,2.73788588212166,0.1
CL,test,2024-07-17T15:30:00Z,2024-07-17T16:00:00Z,2024-07-17,-1,1.09410256410256,1.10833346393476,1.10833346393476,1.06564076443816,0.0142308998322022,stop,-0.0142308998322023,-0.0542308998322023,Backwardation-Deficit,2.73705691266036,0.1
CL,test,2024-07-17T16:30:00Z,2024-07-17T16:45:00Z,2024-07-17,-1,1.12409090909091,1.1373812571136,1.1373812571136,1.09751021304554,0.0132903480226851,stop,-0.0132903480226851,-0.0532903480226851,Backwardation-Deficit,3.34404275714514,0.1
CL,test,2024-07-17T17:00:00Z,2024-07-17T17:15:00Z,2024-07-17,-1,1.14535353535354,1.15931252472476,1.15931252472476,1.1174355566111,0.0139589893712208,stop,-0.0139589893712209,-0.0539589893712209,Backwardation-Deficit,3.6061509058088,0.1
CL,test,2024-07-17T18:30:00Z,2024-07-17T18:45:00Z,2024-07-17,-1,1.23412698412697,1.25373187116467,1.25373187116467,1.19491721005158,0.0196048870376972,stop,-0.0196048870376973,-0.0596048870376973,Backwardation-Deficit,3.9341012570015,0.1
CL,test,2024-07-17T19:15:00Z,2024-07-17T19:30:00Z,2024-07-17,-1,1.33378787878789,1.36239326182749,1.36239326182749,1.27657711270869,0.0286053830396015,stop,-0.0286053830396016,-0.0686053830396016,Backwardation-Deficit,4.25740311933714,0.1
CL,test,2024-07-19T18:45:00Z,2024-07-19T19:30:00Z,2024-07-19,-1,1.69438095238094,1.6176696134582,1.69438095238094,1.6176696134582,0.0383556694613721,target,0.0767113389227443,0.0367113389227443,Backwardation-Deficit,2.63745724755851,0.1
CL,test,2024-08-07T19:15:00Z,2024-08-07T20:45:00Z,2024-08-07,-1,1.09516683518706,1.02294701921752,1.09516683518706,1.02294701921752,0.0361099079847704,target,0.0722198159695409,0.0322198159695409,Backwardation-Deficit,3.23173735550188,0.1
CL,test,2024-08-14T19:00:00Z,2024-08-14T19:15:00Z,2024-08-14,1,1.34247747747747,1.31137492100895,1.31137492100895,1.40468259041451,0.0311025564685207,stop,-0.0311025564685208,-0.0711025564685208,Backwardation-Deficit,-3.01726601215822,0.1
CL,test,2024-08-14T19:30:00Z,2024-08-14T21:00:00Z,2024-08-14,1,1.2817843137255,1.24470707515016,1.24470707515016,1.35593879087617,0.0370772385753371,stop,-0.0370772385753371,-0.0770772385753371,Backwardation-Deficit,-3.20422577611256,0.1
CL,test,2024-08-16T14:45:00Z,2024-08-16T15:15:00Z,2024-08-16,1,1.02329545454545,1.02329545454545,1.02329545454545,1.05557939091889,0.01614196818672,stop,0,-0.04,Backwardation-Deficit,-2.83549050298099,0.1
CL,test,2024-08-29T17:30:00Z,2024-08-29T17:45:00Z,2024-08-29,-1,1.30608647450111,1.32787741318735,1.32787741318735,1.26250459712863,0.0217909386862421,stop,-0.021790938686242,-0.0617909386862421,Backwardation-Deficit,2.99958280492628,0.1
CL,test,2024-08-29T18:00:00Z,2024-08-29T18:15:00Z,2024-08-29,-1,1.37864242424243,1.31465616622979,1.37864242424243,1.31465616622979,0.0319931290063214,target,0.0639862580126429,0.0239862580126429,Backwardation-Deficit,2.7907193249693,0.1
CL,test,2024-08-30T18:15:00Z,2024-08-30T19:00:00Z,2024-08-30,1,1.00482142857143,1.00482142857143,1.00482142857143,1.07343916631428,0.0343088688714242,stop,0,-0.04,Backwardation-Deficit,-2.91809532435889,0.1
CL,test,2024-08-30T19:15:00Z,2024-08-30T20:15:00Z,2024-08-30,1,0.985624999999985,0.985624999999985,0.985624999999985,1.05793872050049,0.0361568602502516,stop,0,-0.04,Backwardation-Deficit,-3.15026999024279,0.1
CL,test,2024-09-03T17:15:00Z,2024-09-03T19:30:00Z,2024-09-03,1,0.767915966386553,0.730341673776105,0.730341673776105,0.843064551607448,0.0375742926104476,stop,-0.0375742926104476,-0.0775742926104477,Backwardation-Deficit,-2.55507965597897,0.1
CL,test,2024-09-16T18:15:00Z,2024-09-16T18:30:00Z,2024-09-16,-1,1.07291666666667,1.02401049011975,1.07291666666667,1.02401049011975,0.0244530882734583,target,0.0489061765469165,0.00890617654691654,Backwardation-Deficit,2.87822487252034,0.1
CL,test,2025-05-30T17:30:00Z,2025-05-30T18:00:00Z,2025-05-30,-1,0.831749644381226,0.850183413240399,0.850183413240399,0.79488210666288,0.018433768859173,stop,-0.018433768859173,-0.058433768859173,Backwardation-Deficit,2.76284354095812,0.1
