product,window,entry_time,exit_time,trade_date,direction,entry_px,exit_px,stop_px,target_px,atr_entry,exit_reason,pnl_raw,pnl_net,regime,signal_z,confidence
WTCL_LCO,validation,2024-04-30T13:30:00Z,2024-04-30T14:00:00Z,2024-04-30,1,-6.36925,-6.04465854124313,-6.36925,-6.04465854124313,0.162295729378437,target,0.324591458756874,0.284591458756874,Backwardation-Deficit,-2.94714217662835,0.1
WTCL_LCO,validation,2024-06-28T13:45:00Z,2024-06-28T14:45:00Z,2024-06-28,1,-5.105,-4.97678571428572,-5.105,-4.97678571428572,0.0641071428571429,target,0.128214285714286,0.0882142857142858,Backwardation-Deficit,-3.45669266162077,0.1
WTCL_LCO,validation,2024-02-29T08:30:00Z,2024-02-29T09:30:00Z,2024-02-29,1,-4.98,-4.94661904761905,-4.98,-4.94661904761905,0.0166904761904765,target,0.033380952380953,-0.00661904761904705,Deep-Backwardation,-1.40311271076941,1
WTCL_LCO,validation,2024-02-29T10:30:00Z,2024-02-29T11:15:00Z,2024-02-29,1,-5.08,-5.14956845238095,-5.14956845238095,-4.96869047619048,0.0556547619047622,stop,-0.0695684523809526,-0.109568452380953,Deep-Backwardation,-1.56130010563812,1
WTCL_LCO,validation,2024-02-29T14:45:00Z,2024-02-29T15:15:00Z,2024-02-29,1,-5.03,-5.18331632653061,-5.18331632653061,-4.78469387755102,0.12265306122449,stop,-0.153316326530613,-0.193316326530613,Deep-Backwardation,-1.15903557457679,1
WTCL_LCO,validation,2024-02-29T15:30:00Z,2024-02-29T16:30:00Z,2024-02-29,1,-5.145,-4.84612244897959,-5.145,-4.84612244897959,0.149438775510204,target,0.298877551020408,0.258877551020408,Deep-Backwardation,-1.01617139195281,1
WTCL_LCO,validation,2024-01-30T14:30:00Z,2024-01-30T15:00:00Z,2024-01-30,-1,-5.3306976744186,-5.30601443684444,-5.30601443684444,-5.39651964128303,0.0329109834322133,stop,-0.0246832375741599,-0.0646832375741599,Stable-Elevated,4.10987852928313,0.1
WTCL_LCO,validation,2024-03-19T15:45:00Z,2024-03-19T21:15:00Z,2024-03-19,-1,-4.58123076923077,-4.655,-4.58123076923077,-4.66513378073317,0.0419515057511984,session_close,0.0737692307692299,0.0337692307692299,Stable-Elevated,4.77823976310507,0.1
WTCL_LCO,test,2024-08-30T15:15:00Z,2025-05-30T00:00:00Z,2024-08-30,1,-4.19230769230769,-4.15000582574183,-4.19230769230769,-4.15000582574183,0.02115093328293,target,0.0423018665658601,0.0023018665658601,Backwardation-Deficit,-2.84271656574348,0.1
WTCL_LCO,test,2025-05-30T11:15:00Z,2025-05-30T12:00:00Z,2025-05-30,1,-3.5425,-3.34683766233766,-3.5425,-3.34683766233766,0.0978311688311686,target,0.195662337662337,0.155662337662337,Backwardation-Deficit,-3.62868438622002,0.1
